,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-1,7,0,3,0,5,9,0,3,7,0,3,0,6,1,1,-5,7,0,2,0,0,3,1,0,-2,0,0,0,4,3,1,-6,7,0,0,0,2,2,1,0,-1,0,0,0,2,4,1,-3,-1,0,0,0,4,1,1,-3,7,0,0,0,0,5,1
1,2,6,0,2,0,7,0,0,2,1,0,1,0,7,1,0,-4,9,0,1,0,0,3,0,0,-2,0,0,0,4,0,2,-6,6,0,0,0,0,3,2,0,-1,0,0,0,4,2,2,-6,6,0,0,0,0,0,2,0,-1,0,0,0,4,1,2
2,-1,11,0,3,0,6,5,1,7,8,0,3,0,7,17,0,1,10,0,3,0,4,17,2,5,0,0,3,0,6,14,2,-2,7,0,2,0,4,17,2,4,-1,0,0,0,4,19,2,4,-3,0,0,0,6,16,2,-2,8,0,0,0,2,20,2
3,6,2,0,3,0,7,15,0,7,2,0,3,0,11,16,0,5,-1,0,2,1,19,45,1,7,-10,0,2,0,6,15,2,1,0,0,0,0,8,12,2,7,-8,0,0,0,4,16,2,1,0,0,0,0,8,15,2,7,-8,0,0,0,4,13,2
4,-4,11,1,3,0,3,4,0,1,10,0,1,0,5,4,0,5,11,0,1,0,0,2,0,19,27,0,5,0,4,3,0,4,-3,-1,2,0,4,2,2,-3,7,-1,2,0,0,5,2,4,-2,-1,2,0,5,2,2,-3,6,-1,2,0,0,5,2
5,15,6,0,3,0,2,4,0,15,13,3,3,0,0,-2,0,8,22,1,4,0,2,0,2,6,-3,0,1,0,-2,3,2,2,4,0,1,0,2,-1,2,6,-2,0,1,0,-2,3,2,5,-4,0,1,0,2,1,2,5,4,0,1,0,0,0,2
6,-1,13,0,3,0,1,11,0,-3,4,3,-1,0,-2,1,1,-2,11,0,2,0,0,1,1,10,10,1,0,0,-4,4,1,-3,13,0,3,0,0,2,1,1,-1,0,1,0,-2,1,1,0,-3,0,1,0,-2,3,1,0,5,0,1,0,0,0,1
7,2,6,0,3,0,5,2,0,8,3,0,3,0,6,1,0,2,6,0,3,0,2,1,0,6,1,0,2,0,4,3,2,-1,3,0,0,0,0,1,2,5,-5,0,0,0,4,2,2,2,-5,0,0,0,2,1,2,2,3,0,0,0,2,3,2
8,6,7,1,2,0,7,0,0,9,9,1,2,0,4,1,0,12,6,1,2,0,4,-1,0,4,5,0,2,0,4,-1,0,9,-2,0,0,0,0,-1,0,3,6,0,0,0,4,-1,2,9,-2,0,0,0,0,3,2,6,-2,0,0,0,4,1,2
9,6,6,0,3,0,5,2,2,2,8,0,3,0,4,-7,3,7,-4,0,2,0,8,10,2,4,-4,0,0,0,6,4,4,3,3,0,0,0,7,2,3,7,-6,0,0,0,0,1,4,1,4,0,0,0,7,6,2,7,-4,0,0,0,7,7,2
10,3,3,0,2,0,5,4,1,0,-3,0,1,0,12,6,1,-7,6,0,0,0,3,12,2,0,-1,0,0,0,6,16,2,-7,6,0,0,0,10,12,2,0,-1,0,0,0,6,16,2,-3,-1,0,0,0,10,15,2,-4,6,0,0,0,6,13,2
11,0,7,0,3,0,0,2,-1,-2,10,0,3,0,3,-4,-1,4,9,0,3,0,1,-1,-1,-5,7,0,2,0,-1,-4,1,1,-1,0,0,0,1,-3,1,-2,-1,0,0,0,-3,1,1,-2,7,0,0,0,1,0,1,1,-3,0,0,0,-3,-2,1
12,3,3,0,3,0,18,16,3,11,1,0,3,0,8,14,3,3,-1,0,2,0,9,14,3,8,-8,0,0,0,10,10,3,2,0,0,0,0,7,15,3,8,-8,0,0,0,11,14,3,8,-10,0,0,0,7,12,3,2,1,0,0,0,11,13,3
13,1,0,0,3,0,3,12,2,-4,6,0,2,0,6,9,3,1,-1,0,2,0,0,14,5,-5,7,0,0,0,2,14,4,1,-1,0,0,0,1,8,3,-2,-1,0,0,0,1,5,3,-2,7,0,0,0,-4,-5,5,1,-3,0,0,0,6,8,2
