,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3,4,1,2,0,1,12,0,3,4,0,1,0,2,1,3,3,5,0,-2,0,1,-2,3,2,5,0,-3,0,0,-3,3,3,-1,0,-3,0,1,-2,3,2,5,0,-3,0,0,-1,3,3,-1,0,-3,0,1,-2,3,2,5,0,-3,0,0,-1,3
1,7,7,1,0,0,0,9,0,8,11,1,-3,0,2,8,3,4,5,0,-3,0,-3,-3,3,5,6,0,-3,0,-1,-2,3,7,1,0,-3,0,-3,-3,3,7,2,0,-3,0,-1,-2,3,7,1,0,-3,0,-3,-3,3,7,2,0,-3,0,-1,-2,3
2,10,3,0,0,0,1,7,0,11,7,0,-3,0,1,-2,3,10,-3,-1,-3,0,2,7,3,7,3,-1,-3,0,-1,-5,3,10,-3,-1,-3,0,1,-4,3,7,3,-1,-3,0,-3,-4,3,10,-3,-1,-3,0,1,-4,3,7,3,-1,-3,0,-3,-4,3
3,9,3,0,1,0,1,12,0,10,5,0,-2,0,1,-3,3,9,0,0,-1,0,2,9,3,9,5,0,-2,0,2,0,3,9,0,0,-2,0,1,-2,3,9,-1,0,-2,0,2,-2,3,9,0,0,-2,0,1,-2,3,9,-1,0,-2,0,2,-2,3
4,8,3,0,0,0,0,7,0,8,5,0,-3,0,1,7,3,7,0,0,-3,0,-5,-5,3,6,3,-1,-3,0,-2,-5,3,8,-3,-1,-3,0,-4,-4,3,6,3,-1,-3,0,0,-4,3,8,-3,-1,-3,0,-4,-4,3,6,3,-1,-3,0,0,-4,3
5,9,3,0,0,0,1,11,0,11,6,0,-3,0,3,2,3,11,-1,-1,-3,0,0,0,3,11,0,-2,-3,0,-1,0,3,11,-2,-1,-3,0,0,1,3,10,2,-1,-3,0,-2,-1,3,11,-2,-1,-3,0,2,0,3,12,0,-1,-3,0,-2,-1,3
6,9,5,0,0,0,3,6,0,9,3,0,-3,0,3,-3,3,7,3,-1,-3,0,4,6,3,10,2,-1,-3,0,-1,-5,3,10,-1,-1,-3,0,3,-5,3,8,4,-1,-3,0,-1,-5,3,10,-1,-1,-3,0,3,-5,3,8,4,-1,-3,0,-1,-5,3
7,9,5,1,0,0,-2,9,0,11,9,1,-3,0,-3,-2,3,10,1,1,-3,0,-2,-1,3,7,5,0,-3,0,-2,-3,3,10,-1,0,-3,0,-4,-3,3,7,5,0,-3,0,0,-2,3,10,-1,0,-3,0,-4,-3,3,7,5,0,-3,0,0,-2,3
8,8,5,-2,1,0,2,8,0,7,2,-2,-2,0,3,7,3,5,3,-2,-3,0,0,-4,3,8,2,-2,-2,0,-2,-3,3,8,1,-2,-2,0,2,-3,3,8,2,-2,-2,0,-2,-3,3,8,1,-2,-2,0,2,-3,3,8,2,-2,-2,0,-2,-3,3
9,7,7,0,1,0,4,35,0,8,10,0,-2,0,1,26,3,7,4,0,-2,0,6,2,1,5,5,0,-3,0,8,9,1,8,3,0,-2,0,-2,6,4,5,5,0,-3,0,6,15,0,8,3,0,-2,0,-1,-4,1,8,3,0,-2,0,14,1,4
10,9,3,1,1,0,2,11,0,11,3,0,2,0,2,2,3,11,3,0,-1,0,0,-1,3,10,8,0,-1,0,1,0,3,9,9,0,-2,0,2,0,3,11,2,1,-1,0,1,0,3,10,4,1,-1,0,2,0,3,9,7,0,-2,0,1,0,3
11,7,2,0,0,0,1,6,0,9,-1,0,-3,0,2,7,3,8,-4,-1,-3,0,-3,-3,3,8,-3,-1,-3,0,-1,-2,3,8,-4,-1,-3,0,-2,-2,3,8,-3,-1,-3,0,-1,-2,3,8,-4,-1,-3,0,-3,-3,3,8,-3,-1,-3,0,-1,-2,3
