,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,12,2,2,-1,0,8,17,0,6,6,1,3,0,4,13,0,8,4,2,-2,0,4,10,3,12,13,1,-1,0,5,8,3,12,1,1,-1,0,4,7,3,6,4,2,-1,0,5,8,3,10,1,3,-3,0,4,7,3,10,1,1,-1,0,5,8,3
1,9,2,1,0,0,23,27,0,9,2,1,0,0,13,11,0,9,-1,1,-3,0,10,8,3,7,5,1,-3,0,9,9,3,7,3,0,-3,0,8,5,3,7,3,0,-3,0,10,5,3,7,3,0,-3,0,7,5,3,7,3,0,-3,2,24,28,4
2,13,4,0,1,0,8,11,0,13,2,0,-1,0,10,11,0,13,8,0,-2,0,24,21,3,12,4,0,-2,0,7,8,3,11,5,0,-2,0,6,5,3,10,3,0,-3,0,10,4,3,10,4,0,-3,0,6,5,3,11,4,0,-3,0,10,4,3
3,12,6,0,3,0,9,21,0,13,1,0,3,0,9,1,0,13,2,0,1,0,11,10,0,14,2,0,0,0,14,10,0,11,5,0,-1,0,12,5,3,10,6,0,-1,0,9,5,0,11,5,0,-1,0,10,11,3,14,2,0,0,0,16,11,2
4,15,6,0,4,0,-6,3,1,16,8,0,4,0,11,9,0,17,1,0,1,0,-2,10,3,14,4,-1,1,0,5,6,3,14,8,-1,1,0,8,7,3,14,9,-1,1,0,9,8,3,15,0,-1,1,0,4,6,3,14,9,-1,1,0,4,6,2
5,10,11,0,2,0,11,6,0,13,-1,0,2,0,11,6,0,13,1,0,-1,0,9,5,3,10,3,0,-1,0,12,3,3,11,-1,0,-2,0,11,1,3,10,8,0,-2,0,9,1,3,11,7,0,-2,0,13,4,3,10,3,0,-2,0,12,4,3
6,4,13,1,7,0,-2,15,0,10,10,1,5,0,3,-1,3,15,7,4,1,0,2,-1,3,10,0,0,3,0,-2,2,3,7,12,0,4,0,1,-1,3,6,8,-1,4,0,1,-2,3,4,16,-1,4,0,-3,-1,3,5,6,3,2,0,-4,-1,3
7,22,12,4,2,0,11,11,0,5,14,2,1,0,8,12,0,9,5,5,-4,0,11,10,3,16,0,0,0,0,8,5,3,13,6,1,1,0,4,6,3,10,3,1,2,0,8,6,3,12,8,2,-2,0,3,6,3,6,4,-1,4,0,8,6,3
8,11,0,1,3,0,3,16,0,10,11,0,2,0,5,9,1,10,4,0,-1,0,3,10,4,11,2,0,-2,0,1,2,3,10,7,0,-2,0,5,-2,3,10,7,0,-2,0,8,5,3,10,7,0,-2,0,8,12,4,10,7,0,-2,0,-5,8,4
9,8,0,0,0,0,2,2,0,7,8,0,0,0,4,4,0,9,2,0,-3,0,0,11,3,8,-4,-1,-3,0,-3,1,3,7,5,-1,-3,0,-2,-1,3,8,-4,-1,-3,0,-2,-2,3,7,5,-1,-3,0,-4,-2,3,8,-4,-1,-3,0,-5,-2,3
10,2,5,0,5,0,12,15,0,10,-6,4,1,0,13,7,0,7,6,1,2,0,12,6,3,9,0,-1,1,0,10,3,3,9,-1,3,-2,0,10,3,3,6,1,-2,3,0,10,4,3,8,-6,0,2,0,12,3,3,14,-4,-1,0,0,10,4,3
11,7,7,0,0,0,12,21,1,9,1,0,0,0,0,21,1,7,8,0,-3,0,4,27,3,8,7,0,-3,0,7,20,4,7,8,0,-3,0,7,18,4,8,2,0,-3,0,7,18,3,7,8,0,-3,0,-3,29,4,8,2,0,-3,0,7,13,4
