,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,9,1,3,0,0,9,0,5,4,0,3,0,1,0,3,6,3,-1,3,0,1,1,3,4,3,1,0,0,-3,-3,3,3,4,0,1,0,1,-3,3,7,9,2,0,0,-3,-3,3,7,4,1,0,0,-2,-3,3,3,4,1,0,0,-3,-3,3
1,9,-2,-1,0,0,1,3,0,9,-1,0,-3,0,3,5,0,14,7,-1,-3,0,-1,1,3,7,2,-1,-3,0,1,2,3,7,2,-1,-3,0,2,-1,3,7,2,-1,-3,0,-3,-1,3,7,2,-1,-3,0,-4,-1,3,7,2,-1,-3,0,-1,0,3
2,12,9,0,2,0,21,36,0,12,3,0,2,0,-2,0,3,12,2,0,-1,0,5,1,3,13,-1,-2,-1,0,1,-3,3,12,-1,-1,-1,0,1,-4,3,12,0,-1,-1,0,-5,-3,3,10,3,-1,-1,0,4,-1,3,13,0,-1,-1,0,0,-4,3
3,14,6,0,3,0,7,20,2,14,6,0,3,0,1,17,2,14,5,0,0,0,-1,18,4,15,3,-1,0,1,-6,9,4,12,6,-1,0,0,1,12,4,12,7,-1,0,0,11,26,1,12,6,-1,0,0,8,15,4,12,7,-1,0,0,6,12,4
4,14,4,0,1,0,10,14,0,15,3,1,-2,0,14,13,0,16,-2,0,-2,0,9,11,3,13,0,0,-2,0,8,8,3,13,3,0,-2,0,9,8,3,13,3,0,-2,0,8,8,3,13,3,0,-2,0,9,8,3,13,3,0,-2,0,8,8,3
5,9,6,6,1,0,2,8,0,5,8,3,4,0,3,-1,3,-1,14,2,4,0,-1,-2,3,8,6,2,4,0,3,-1,3,13,4,6,-1,0,2,-4,3,8,3,5,-2,0,-1,-5,3,1,5,1,5,0,2,-4,3,3,2,1,2,0,-1,-5,3
6,10,2,1,1,0,3,9,0,10,-1,0,1,0,9,9,0,9,6,0,-2,0,7,4,3,9,6,0,-2,0,3,3,3,11,-1,0,-2,0,2,3,3,14,6,1,-3,0,3,3,3,9,5,1,-3,0,2,3,3,11,-1,1,-3,0,3,3,3
7,8,2,1,0,0,0,8,0,10,-5,2,-3,0,5,2,0,9,-5,2,-3,0,0,-5,3,9,1,2,-3,0,1,-3,3,8,-6,1,-3,0,0,-3,3,7,-1,1,-3,0,-2,-3,3,8,-6,1,-3,0,0,-3,3,7,-1,1,-3,0,-2,-3,3
8,11,0,0,2,0,7,11,0,10,3,0,2,0,11,6,0,11,0,-1,-1,0,5,6,3,10,1,0,-1,0,2,3,3,10,-1,-1,-1,0,4,3,3,11,1,-1,-1,0,8,2,3,10,-1,-1,-1,0,3,4,3,11,1,-1,-1,0,10,5,3
9,6,-2,-1,0,0,14,12,0,9,-2,0,0,0,15,12,0,8,1,0,-3,0,16,11,3,6,3,-1,-3,0,15,9,3,6,3,-1,-3,0,14,9,3,7,1,-2,-3,0,13,10,3,9,-2,-1,-3,0,12,10,3,7,5,-1,-3,0,15,9,3
10,14,12,1,0,0,12,14,0,11,-2,1,0,0,7,13,0,12,-4,1,-3,0,9,10,3,11,1,0,-3,0,8,8,3,11,1,0,-3,0,8,8,3,11,1,0,-3,0,4,7,3,11,1,0,-3,0,5,7,3,11,1,0,-3,0,4,7,3
11,17,1,0,4,0,14,14,0,15,4,0,4,0,12,11,0,16,9,0,1,0,12,10,3,14,7,0,0,0,12,11,3,16,3,0,1,0,12,10,3,15,5,0,1,0,13,11,3,13,5,0,0,0,12,11,3,17,3,0,1,0,11,10,3
12,8,7,0,2,0,16,8,0,10,3,0,2,0,16,8,0,11,6,0,-1,0,12,1,3,10,1,0,-1,0,11,1,3,9,3,0,-1,0,11,0,3,10,0,-1,-1,0,9,2,3,8,3,-1,-1,0,13,3,3,11,0,-1,-1,0,12,2,3
13,14,2,0,2,0,5,16,0,13,5,0,2,0,3,1,3,12,5,-1,-1,0,5,0,3,13,2,-1,-1,0,3,-3,3,14,1,-2,-1,0,2,-3,3,14,1,-2,-1,0,5,-3,3,11,6,-1,-1,0,-1,-2,3,11,5,-1,-1,0,5,-3,3
14,1,8,0,0,0,5,9,1,4,1,0,0,0,3,9,2,2,8,-1,-3,0,9,5,0,1,7,-1,-3,0,7,13,2,1,4,-1,-3,0,9,9,3,2,-1,-1,-3,0,5,6,2,1,9,-1,-3,0,6,8,3,2,-1,-1,-3,0,1,6,3
15,10,8,0,1,0,12,15,0,10,11,0,1,0,13,15,0,11,8,-1,-2,0,13,14,3,10,8,-1,-2,0,10,11,3,11,2,-2,-2,0,12,11,3,11,2,-1,-2,0,13,11,3,10,4,-1,-2,0,11,12,3,11,-1,-1,-2,0,13,11,3
