,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,8,8,1,0,0,0,14,0,8,11,1,-3,0,1,-1,3,4,5,0,-3,0,1,3,3,4,7,0,-3,0,3,11,3,4,5,0,-3,0,1,0,3,8,3,0,-3,0,2,0,3,7,1,0,-3,0,1,0,3,8,3,0,-3,0,2,0,3
1,6,3,1,2,0,0,11,0,7,1,0,-2,0,2,-1,3,8,-1,0,-2,0,-3,-3,3,5,2,0,-3,0,-1,-2,3,8,1,0,-2,0,-3,-3,3,8,0,0,-2,0,-1,-2,3,8,1,0,-2,0,-3,-3,3,8,0,0,-2,0,-1,-2,3
2,12,9,1,0,0,0,12,0,10,6,1,-3,0,1,-3,3,11,7,1,-3,0,-2,-2,3,13,3,1,-3,0,2,-2,3,8,8,0,-3,0,1,-2,3,11,2,0,-3,0,2,-2,3,8,8,0,-3,0,1,-2,3,11,2,0,-3,0,2,-2,3
3,10,2,0,1,0,0,10,0,10,4,0,-2,0,1,1,3,10,-2,0,-2,0,0,9,3,11,-2,0,-2,0,-1,-1,3,10,-2,0,-2,0,-2,-1,3,11,-2,0,-2,0,-1,-1,3,10,-2,0,-2,0,-3,-2,3,9,0,0,-2,0,-1,-1,3
4,5,2,1,0,0,2,6,0,8,-1,1,-3,0,2,-3,3,9,-1,0,-3,0,2,-3,3,8,-3,0,-3,0,-2,-5,3,5,3,0,-3,0,2,-5,3,8,-3,0,-3,0,-2,-5,3,5,3,0,-3,0,2,-5,3,8,-3,0,-3,0,-2,-5,3
5,9,5,0,0,0,0,10,0,7,1,0,-3,0,2,-2,3,8,7,0,-3,0,1,7,3,8,0,0,-3,0,-1,-5,3,8,1,0,-3,0,0,-4,3,8,0,0,-3,0,-1,-3,3,8,1,0,-3,0,0,-4,3,8,0,0,-3,0,-1,-3,3
6,47,35,3,1,0,1,11,0,61,27,4,-1,0,3,1,3,40,29,3,2,0,-2,-1,3,46,34,2,-1,0,0,0,3,50,34,3,0,0,-2,-1,3,46,31,2,2,0,0,0,3,46,28,8,-3,0,-2,-1,3,47,34,1,3,0,0,0,3
7,9,2,0,2,0,1,10,0,9,4,0,-1,0,3,9,3,8,-1,0,-1,0,-1,0,3,9,4,0,-1,0,0,0,3,6,0,0,-2,0,-1,0,3,9,-2,0,-1,0,0,0,3,6,0,0,-2,0,-1,0,3,9,-2,0,-1,0,0,0,3
8,9,3,0,1,0,2,9,0,10,5,0,-2,0,3,11,3,8,0,0,-2,0,0,1,3,9,-1,0,-2,0,0,1,3,6,1,0,-3,0,0,-1,3,9,-1,0,-2,0,0,1,3,9,-1,0,-2,0,0,-1,3,9,-1,0,-2,0,0,1,3
9,8,5,0,1,0,0,10,0,7,3,0,-1,0,2,1,3,6,1,0,-2,0,1,1,3,4,2,0,-3,0,-1,0,3,7,1,0,-2,0,-1,0,3,7,0,0,-2,0,-1,0,3,7,1,0,-2,0,-1,0,3,7,0,0,-2,0,-1,0,3
10,7,6,0,0,0,1,9,0,7,9,0,-3,0,3,8,3,5,4,0,-4,0,2,-3,3,5,6,0,-4,0,0,-2,3,4,4,0,-4,0,0,-4,3,6,4,0,-3,0,0,-2,3,7,2,0,-3,0,0,-2,3,5,6,0,-4,0,0,-2,3
11,8,4,0,1,0,0,13,0,8,2,0,-2,0,2,1,3,5,2,0,-3,0,-1,10,3,8,-1,0,-2,0,-1,0,3,8,0,0,-2,0,-4,-1,3,8,-1,0,-2,0,-1,-2,3,8,0,0,-2,0,-2,-1,3,8,-1,0,-2,0,-1,0,3
12,9,7,0,2,0,0,10,0,9,2,0,-1,0,0,-2,3,11,1,0,-1,0,2,10,3,8,5,0,-2,0,-2,0,3,9,-2,0,-2,0,1,-1,3,9,2,0,-2,0,-2,0,3,9,1,0,-2,0,1,-1,3,8,5,0,-2,0,-2,0,3
13,8,9,0,0,0,0,12,0,8,9,0,-3,0,2,0,3,8,5,0,-3,0,1,9,3,8,1,-1,-3,0,-1,-3,3,6,6,-1,-3,0,-2,-1,3,8,1,-1,-3,0,-1,-1,3,6,6,-1,-3,0,-2,-1,3,8,1,-1,-3,0,-1,-1,3
