,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,7,5,1,2,0,5,16,0,8,0,0,-1,0,-1,1,3,6,3,0,-2,0,5,1,3,6,1,0,-2,0,3,-1,3,9,-1,0,-2,0,3,-1,3,7,2,0,-3,0,0,-2,3,6,4,0,-3,0,3,-1,3,8,0,0,-2,0,3,0,3
1,9,2,1,0,0,-1,9,0,11,-3,0,-3,0,0,1,3,11,-3,-1,-3,0,0,1,3,8,0,0,-3,0,-1,-1,3,11,-4,0,-3,0,0,0,3,9,2,0,-3,0,0,0,3,9,2,0,-3,0,0,0,3,9,2,0,-3,0,0,0,3
2,6,8,1,1,0,4,8,0,9,1,0,-1,0,0,-1,3,9,1,0,-1,0,0,-1,3,9,9,0,-2,0,5,-4,3,9,1,0,-1,0,-2,-4,3,9,1,0,-2,0,5,-2,3,6,4,0,-3,0,3,-4,3,6,5,0,-3,0,3,-5,3
3,7,7,-1,0,0,9,13,0,9,1,-1,-3,0,11,14,0,6,6,0,-3,0,9,10,3,6,3,0,-3,0,5,8,3,6,4,-1,-3,0,8,8,3,6,4,-1,-3,0,4,7,3,6,5,-1,-3,0,7,8,3,6,4,-1,-3,0,4,7,3
4,8,6,0,0,0,3,11,0,9,4,0,2,0,11,12,0,7,1,0,-2,0,7,5,3,10,0,0,-1,0,5,5,3,7,7,0,-2,0,5,4,3,7,4,0,-3,0,5,4,3,7,5,0,-3,0,5,4,3,7,4,0,-3,0,1,5,3
5,12,3,0,3,0,12,12,0,12,3,0,3,0,11,0,3,13,1,0,0,0,11,0,3,13,0,0,0,0,11,-3,3,13,0,0,-1,0,8,-3,3,12,-1,0,-1,0,8,-3,3,10,4,0,-2,0,8,-3,3,9,2,0,-2,0,8,-3,3
6,9,0,2,1,0,7,10,0,8,3,2,1,0,8,10,0,7,1,2,-2,0,11,9,3,6,4,1,-2,0,5,8,3,6,3,1,-2,0,4,4,3,6,4,1,-2,0,4,4,3,6,3,1,-2,0,3,5,3,6,4,1,-2,0,8,4,3
7,11,4,0,2,0,15,9,0,10,2,0,1,0,14,6,0,9,3,0,-3,0,13,5,3,8,4,0,-3,0,15,9,3,9,3,0,-3,0,14,6,3,10,6,0,-3,0,13,5,3,12,-1,0,-2,0,12,5,3,10,6,0,-3,0,9,6,3
8,17,5,0,4,0,7,12,0,16,10,0,4,0,12,9,0,16,4,-1,1,0,6,10,3,14,10,-1,1,0,6,9,3,14,9,-1,1,0,5,6,3,14,10,-1,1,0,9,5,3,14,9,-1,1,0,5,6,3,14,10,-1,1,0,9,5,3
9,12,1,0,2,0,12,12,0,13,-3,0,2,0,10,9,0,11,2,0,-1,0,8,8,3,10,1,-1,-1,0,10,8,3,10,2,-1,-1,0,8,6,3,10,1,-1,-1,0,4,5,3,10,2,-1,-1,0,5,5,3,10,1,-1,-1,0,4,5,3
10,11,-1,1,1,0,12,8,0,9,7,1,1,0,5,8,0,10,-2,0,-2,0,9,6,3,9,2,0,-2,0,5,2,3,9,6,0,-2,0,4,2,3,9,2,0,-2,0,8,4,3,9,6,0,-2,0,4,2,3,9,2,0,-2,0,8,4,3
11,12,5,1,1,0,7,8,0,12,3,1,1,0,14,9,0,11,3,0,-2,0,12,6,3,12,1,1,-2,0,11,3,3,12,-1,0,-2,0,8,3,3,13,-1,-1,-2,0,12,3,3,11,5,0,-2,0,8,3,3,12,-1,0,-2,0,9,3,3
12,8,6,0,1,0,13,11,0,10,2,0,2,0,15,21,0,10,0,0,-1,0,12,5,3,9,6,0,-2,0,7,4,3,8,2,0,-2,0,8,4,3,8,6,0,-2,0,9,6,3,8,2,0,-2,0,8,4,3,9,6,0,-2,0,7,4,3
13,13,0,0,2,0,11,2,0,12,3,0,2,0,10,2,0,13,6,0,-1,0,8,-3,3,13,0,-1,-1,0,4,-3,3,12,-1,-1,-1,0,8,-1,3,10,4,-1,-1,0,9,-1,3,10,3,-1,-1,0,3,-2,3,10,4,-1,-1,0,6,-1,3
14,8,2,1,0,0,0,10,0,6,5,1,0,0,3,-6,3,8,6,1,-3,0,1,-3,3,5,1,0,-3,0,3,-2,3,6,2,0,-3,0,5,-2,3,8,0,0,-3,0,-1,-5,3,6,2,0,-3,0,-2,-5,3,9,-1,0,-3,0,1,-4,3
15,14,8,0,3,0,12,12,0,14,8,0,2,0,12,13,0,15,6,0,0,0,8,10,3,14,5,0,0,0,8,8,3,15,4,0,-1,0,6,8,3,12,8,0,-2,0,8,7,3,12,9,0,-2,0,2,7,3,14,6,0,-1,0,8,7,3
16,11,3,0,2,0,17,14,0,11,4,0,2,0,14,10,0,11,1,0,0,0,15,11,3,9,6,0,-1,0,7,7,3,11,1,0,0,0,11,7,3,9,4,0,-2,0,11,7,3,9,5,0,-2,0,11,7,3,12,-1,0,-1,0,7,7,3
17,10,6,0,3,0,12,9,0,10,3,0,3,0,9,10,0,11,0,0,0,0,10,9,3,12,-2,0,0,0,7,5,3,10,0,0,-1,0,8,4,3,9,1,0,-1,0,7,5,3,11,2,0,-1,0,6,5,3,13,-3,0,0,0,9,6,3
18,10,4,0,1,0,14,12,0,9,10,0,1,0,13,10,0,10,4,0,-2,0,10,9,3,9,5,0,-2,0,10,7,3,9,6,0,-2,0,7,6,3,9,5,0,-2,0,4,7,3,9,3,0,-3,0,10,7,3,12,0,0,-2,0,4,7,3
19,10,3,0,2,0,0,10,0,11,0,0,2,0,-2,-3,3,7,2,0,-3,0,-1,0,3,7,2,0,-3,0,-3,-3,3,7,2,0,-3,0,-3,-3,3,7,2,0,-3,0,-3,-3,3,7,2,0,-3,0,-3,-3,3,7,2,0,-3,0,-3,-3,3
20,16,3,1,2,0,14,9,0,17,4,1,2,0,14,9,0,16,3,1,-1,0,10,7,3,18,1,1,-1,0,11,7,3,14,5,0,-1,0,10,3,3,16,0,0,-1,0,8,3,3,14,5,0,-1,0,9,4,3,16,0,0,-1,0,11,3,3
21,10,9,0,2,0,2,8,0,12,0,0,2,0,4,1,0,10,3,0,-2,0,3,0,3,9,9,0,-2,0,2,-3,3,10,3,0,-2,0,-1,-4,3,9,9,0,-2,0,0,-3,3,10,3,0,-2,0,-1,-4,3,9,9,0,-2,0,0,-3,3
22,13,2,0,3,0,4,10,0,13,1,0,3,0,10,11,0,11,7,0,0,0,6,5,3,13,0,0,0,0,2,4,3,12,3,0,-1,0,3,4,3,13,0,0,0,0,6,6,3,13,1,0,0,0,4,6,3,13,0,0,0,0,3,4,3
23,12,6,1,1,0,11,7,0,11,3,1,1,0,10,6,0,10,3,0,-2,0,11,5,3,15,8,1,-2,0,8,2,3,11,-1,0,-2,0,7,0,3,9,3,0,-2,0,11,2,3,9,3,0,-2,0,11,3,3,9,3,0,-2,0,6,2,3
24,8,3,0,3,0,13,14,0,9,-1,0,3,0,11,13,0,7,4,0,0,0,12,22,3,6,4,0,-1,0,13,11,3,10,-1,0,0,0,7,10,3,6,4,0,-1,0,10,11,3,7,3,0,-1,0,10,10,3,10,0,0,0,0,8,10,3
25,9,3,0,2,0,4,18,0,7,6,0,0,0,2,3,3,9,1,0,-1,0,3,3,3,7,4,0,-3,0,1,-1,3,7,5,0,-3,0,3,2,3,7,5,0,-3,0,0,-1,3,7,4,0,-3,0,1,0,3,7,5,0,-3,0,3,-1,3
26,9,3,0,2,0,14,16,0,9,4,0,2,0,14,15,0,10,6,-1,-1,0,10,9,3,10,0,0,-1,0,8,9,3,9,1,0,-1,0,9,10,3,7,3,-1,-1,0,11,9,3,7,4,-1,-1,0,9,10,3,7,3,-1,-1,0,11,9,3
27,6,5,1,0,0,6,14,0,9,-1,1,0,0,1,3,0,6,3,1,-3,0,5,3,3,6,3,1,-3,0,3,-1,3,9,-1,-1,-3,0,6,1,3,6,2,0,-3,0,-1,-1,3,5,3,0,-3,0,3,-1,3,7,4,0,-3,0,3,-1,3
28,16,2,0,2,0,8,11,0,16,8,0,2,0,12,10,0,14,5,0,0,0,9,7,3,13,6,0,-2,0,6,4,3,12,5,0,-2,0,7,5,3,15,2,0,-1,0,7,5,3,15,3,0,-1,0,7,5,3,15,2,0,-1,0,7,5,3
29,9,3,0,1,0,11,14,0,9,4,0,1,0,14,16,0,9,1,0,-1,0,7,12,3,7,6,0,-2,0,10,10,3,7,7,0,-2,0,7,12,3,7,6,0,-2,0,10,11,3,9,0,0,-2,0,10,10,3,7,4,0,-3,0,7,9,3
30,15,2,0,2,0,14,12,0,14,2,0,1,0,12,9,0,13,9,0,-2,0,11,8,3,12,7,0,-2,0,7,5,3,15,2,0,-2,0,10,5,3,13,9,0,-3,0,9,6,3,15,2,0,-2,0,11,5,3,15,3,0,-2,0,7,5,3
31,10,7,0,0,0,8,10,0,10,11,0,0,0,9,11,0,10,3,0,-3,0,7,4,3,10,4,-1,-3,0,8,5,3,11,2,-1,-3,0,5,6,3,11,0,-1,-3,0,5,6,3,11,-1,-1,-3,0,6,3,3,10,3,-1,-3,0,3,5,3
32,16,7,0,3,0,0,6,0,13,7,0,3,0,0,2,0,16,0,-1,0,0,3,3,3,16,-1,-2,0,0,-1,-1,3,13,4,-1,0,0,-3,-1,3,13,3,-1,0,0,-4,-1,3,13,4,-1,0,0,-1,0,3,13,3,-1,0,0,-1,-1,3
33,9,11,0,2,0,9,11,0,9,11,0,2,0,13,11,0,10,9,0,-1,0,10,8,3,10,2,0,-2,0,9,4,3,9,3,0,-2,0,8,3,3,9,7,0,-2,0,9,6,3,9,3,0,-2,0,10,6,3,10,7,0,-2,0,9,6,3
34,11,3,0,1,0,15,12,0,11,4,0,1,0,13,10,0,12,6,0,-2,0,11,7,3,12,0,0,-2,0,8,9,3,11,-1,-1,-2,0,11,8,3,9,3,-1,-2,0,8,6,3,9,3,-1,-2,0,11,8,3,9,3,-1,-2,0,11,7,3
35,12,14,0,1,0,10,10,0,12,3,0,1,0,11,12,0,13,9,-1,-2,0,9,7,3,13,1,-1,-2,0,8,4,3,13,3,-1,-2,0,7,6,3,13,1,-1,-2,0,7,7,3,13,0,-1,-2,0,4,6,3,12,4,-1,-2,0,8,4,3
36,6,0,0,2,0,13,15,0,8,0,0,2,0,12,14,0,6,0,0,-1,0,11,11,3,6,6,-1,-1,0,6,8,3,7,-4,-1,-1,0,9,9,3,6,1,-1,-1,0,9,10,3,7,-4,-1,-1,0,7,10,3,6,1,-1,-1,0,9,9,3
37,8,7,0,1,0,15,15,0,8,8,0,1,0,17,17,0,8,9,0,-2,0,15,14,3,8,7,-1,-2,0,11,11,3,8,8,-1,-2,0,12,11,3,9,-1,-1,-2,0,11,11,3,8,3,-1,-2,0,12,11,3,8,7,-1,-2,0,11,11,3
38,10,6,0,1,0,5,18,0,10,1,0,1,0,8,6,0,10,3,0,-1,0,0,2,3,11,-2,0,-2,0,3,-2,3,10,7,0,-2,0,3,-2,3,11,1,0,-2,0,-1,-1,3,11,-1,0,-2,0,3,-2,3,11,1,0,-2,0,-1,-1,3
39,8,9,0,1,0,11,17,0,8,3,0,0,0,9,9,0,8,4,0,-2,0,6,8,3,8,4,0,-2,0,6,7,3,8,7,0,-3,0,0,6,3,9,5,0,-3,0,3,5,3,10,1,0,-2,0,5,6,3,9,5,0,-3,0,6,7,3
40,10,5,0,0,0,10,7,0,10,9,0,0,0,16,8,0,10,2,0,-3,0,9,4,3,11,0,-2,-3,0,12,0,3,10,5,-1,-3,0,12,0,3,10,1,-1,-3,0,8,1,3,11,0,-1,-3,0,7,1,3,11,-2,-1,-3,0,15,3,3
41,13,6,0,4,0,12,8,0,13,6,0,4,0,11,8,0,13,4,0,1,0,12,8,3,13,4,0,1,0,12,7,3,14,3,0,1,0,6,5,3,11,7,0,-1,0,12,4,3,10,5,0,-1,0,6,5,3,11,7,0,-1,0,12,4,3
42,7,7,0,1,0,13,14,0,7,11,0,1,0,14,13,0,9,2,0,-2,0,10,11,3,8,8,-1,-2,0,9,10,3,7,3,0,-2,0,8,10,3,8,4,0,-2,0,9,10,3,8,2,-1,-2,0,8,10,3,7,3,-1,-2,0,11,9,3
43,9,5,1,0,0,17,10,0,11,7,1,0,0,11,9,0,10,7,1,-3,0,16,8,3,11,0,0,-3,0,8,3,3,11,1,-1,-3,0,9,3,3,8,3,0,-3,0,13,2,3,10,-1,0,-3,0,8,4,3,8,4,0,-3,0,13,2,3
44,11,8,0,2,0,10,10,0,11,2,0,2,0,14,12,0,12,-1,-1,-1,0,9,5,3,10,4,-1,-1,0,10,7,3,12,-2,-1,-1,0,9,7,3,11,-1,-1,-1,0,7,7,3,9,2,-1,-1,0,6,5,3,12,-1,-1,-1,0,5,6,3
