,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,8,2,0,1,0,1,10,0,8,0,0,-1,0,0,11,3,9,-1,0,-1,0,-1,0,3,7,0,0,-3,0,-3,-1,3,9,-1,0,-2,0,-1,0,3,9,-2,0,-2,0,-3,-1,3,9,-1,0,-2,0,-1,0,3,9,-2,0,-2,0,-3,-1,3
1,8,6,0,1,0,4,7,0,8,3,0,-2,0,7,17,0,6,4,0,-3,0,1,4,3,9,2,0,-2,0,8,6,3,9,2,0,-2,0,6,3,3,9,2,0,-2,0,8,3,3,9,2,0,-2,0,4,0,3,9,2,0,-2,0,8,3,3
2,7,3,0,0,0,1,10,0,8,2,0,-3,0,2,10,3,10,0,0,-3,0,1,-1,3,9,0,0,-3,0,-4,-1,3,9,-2,-1,-3,0,1,-1,3,9,-2,-1,-3,0,-4,-1,3,9,-2,-1,-3,0,1,-1,3,9,-2,-1,-3,0,-4,-1,3
3,8,9,1,0,0,2,10,0,7,5,1,-3,0,3,0,3,8,5,0,-3,0,1,0,3,8,2,0,-3,0,-1,-1,3,6,7,0,-3,0,1,0,3,8,2,0,-3,0,-1,-1,3,6,7,0,-3,0,1,0,3,8,2,0,-3,0,-1,-1,3
4,7,10,0,0,0,0,9,0,8,3,0,-3,0,-1,-2,3,6,6,0,-3,0,3,9,3,6,5,-1,-3,0,1,-2,3,6,4,-1,-3,0,2,-2,3,6,5,-1,-3,0,1,-2,3,6,4,-1,-3,0,2,-2,3,6,5,-1,-3,0,1,-2,3
5,8,3,1,2,0,1,11,0,9,1,0,-1,0,3,10,3,10,1,0,-2,0,1,0,3,10,-1,0,-2,0,0,-1,3,10,0,0,-2,0,0,1,3,10,-1,0,-2,0,-1,1,3,8,2,0,-3,0,0,1,3,10,-1,0,-2,0,-1,0,3
6,10,5,0,0,0,0,8,0,10,7,0,-3,0,2,-1,3,10,1,0,-3,0,1,-3,3,12,0,0,-3,0,1,-3,3,10,-1,-1,-3,0,1,-3,3,10,-1,-1,-3,0,1,-3,3,10,-1,-1,-3,0,1,-3,3,10,-1,-1,-3,0,1,-3,3
7,8,5,1,1,0,5,10,0,10,8,0,-3,0,2,6,1,10,3,0,-2,0,3,2,1,10,8,0,-3,1,6,9,3,10,1,0,-3,0,7,6,2,7,4,0,-4,0,3,0,1,10,1,0,-3,0,3,6,0,10,2,0,-3,0,2,-2,1
8,7,6,0,0,0,3,9,0,7,9,0,-3,0,4,9,3,7,2,0,-2,0,1,-3,3,7,3,0,-3,0,-2,-2,3,7,2,0,-3,0,3,-2,3,7,3,0,-3,0,-2,-2,3,7,2,0,-3,0,3,-2,3,7,3,0,-3,0,-2,-2,3
9,7,5,1,2,0,1,7,0,10,8,0,-2,0,2,8,3,11,3,0,-1,0,-2,-1,3,7,4,0,-3,0,1,-2,3,10,2,0,-2,0,0,-2,3,10,2,0,-2,0,1,-2,3,10,2,0,-2,0,0,-2,3,10,2,0,-2,0,1,-2,3
10,9,9,0,1,0,1,8,0,9,4,0,-1,0,1,8,3,8,3,0,-2,0,-1,-2,3,8,3,0,-2,0,-2,-2,3,7,5,0,-2,0,-1,-2,3,8,3,0,-2,0,-2,-2,3,7,5,0,-2,0,-1,-2,3,8,3,0,-2,0,-2,-2,3
11,10,5,0,0,0,0,7,0,8,1,0,-3,0,2,6,3,7,3,-1,-3,0,-1,-1,3,6,2,-1,-3,0,1,-1,3,7,3,-1,-3,0,-2,-3,3,9,-2,-1,-3,0,-1,-3,3,7,3,-1,-3,0,-2,-3,3,9,-2,-1,-3,0,-1,-3,3
12,6,6,0,0,0,0,11,0,7,5,0,-3,0,2,2,3,9,3,-2,-3,0,0,12,3,8,3,-1,-3,0,2,2,3,5,5,-1,-3,0,2,2,3,8,1,-1,-3,0,-1,-1,3,5,5,-1,-3,0,1,0,3,8,1,-1,-3,0,-1,-1,3
13,10,4,0,1,0,1,14,0,9,5,0,-2,0,3,2,3,9,0,0,-1,0,0,12,3,8,1,0,-1,0,2,0,3,9,0,0,-2,0,-1,1,3,9,-1,0,-2,0,2,0,3,9,-2,0,-2,0,-1,1,3,9,-1,0,-2,0,2,0,3
14,12,7,0,1,0,2,11,0,10,3,0,-2,0,2,1,3,11,3,0,-2,0,0,-1,3,11,2,0,-2,0,-1,1,3,9,5,0,-3,0,0,1,3,11,2,0,-2,0,-1,0,3,9,5,0,-3,0,0,1,3,11,2,0,-2,0,-1,1,3
15,7,3,1,2,0,1,11,0,9,6,0,-2,0,3,1,3,10,2,0,-1,0,3,10,3,9,6,0,-2,0,0,-2,3,8,2,0,-2,0,0,0,3,9,0,0,-2,0,0,0,3,8,2,0,-2,0,0,0,3,6,2,0,-3,0,0,0,3
16,8,8,0,0,0,3,9,0,9,5,0,-3,0,3,9,3,8,9,0,-3,0,1,-3,3,8,1,-1,-3,0,0,-1,3,8,1,-1,-3,0,3,-2,3,8,1,-1,-3,0,0,-1,3,8,1,-1,-3,0,3,-2,3,8,1,-1,-3,0,0,-1,3
17,10,7,0,0,0,1,9,0,9,4,0,-2,0,3,8,3,8,2,0,-3,0,2,-2,3,9,1,0,-3,0,2,-2,3,7,4,0,-4,0,2,-2,3,9,1,0,-3,0,2,-2,3,7,4,0,-4,0,2,-2,3,9,1,0,-3,0,2,-2,3
18,8,4,0,0,0,-1,5,0,9,1,0,-2,0,0,-5,3,8,0,0,-3,0,-1,-5,3,5,2,0,-4,0,-2,-5,3,8,1,0,-3,0,-1,-5,3,8,0,0,-3,0,-2,-5,3,8,1,0,-3,0,-1,-5,3,8,0,0,-3,0,-2,-5,3
19,9,2,0,0,0,0,10,0,9,5,0,-3,0,-1,-1,3,8,-1,0,-3,0,0,-2,3,9,-3,-1,-3,0,0,0,3,9,-4,-1,-3,0,0,0,3,9,-3,-1,-3,0,0,0,3,9,-4,-1,-3,0,0,0,3,9,-3,-1,-3,0,0,0,3
20,7,3,1,1,0,1,7,0,7,6,0,-2,0,1,-2,3,8,-1,0,-3,0,-1,-3,3,8,-4,0,-3,0,-2,-3,3,8,-4,0,-3,0,-1,-3,3,8,4,0,-3,0,-2,-3,3,8,4,0,-3,0,-1,-3,3,8,-4,0,-3,0,-3,-4,3
21,9,6,0,0,0,1,11,0,8,4,0,-2,0,3,2,3,8,3,0,-3,0,3,10,3,9,2,0,-3,0,1,-1,3,6,4,0,-4,0,1,-1,3,9,2,0,-3,0,0,1,3,9,2,0,-3,0,0,1,3,9,2,0,-3,0,0,1,3
22,8,7,0,2,0,-2,10,0,7,4,0,0,0,-3,-1,3,6,3,0,0,0,1,10,3,7,4,0,0,0,1,1,3,4,3,0,-2,0,-3,-1,3,7,2,0,-1,0,-2,0,3,7,1,0,-1,0,-2,0,3,7,2,0,-1,0,-2,0,3
23,7,13,1,-2,0,0,7,0,15,-2,1,-2,0,2,-2,3,9,1,0,-2,0,-2,-3,3,11,7,0,-1,0,-1,-3,3,14,6,1,0,0,0,-4,3,12,6,1,-4,0,-1,-3,3,8,14,2,-4,0,0,-4,3,24,8,4,-4,0,-1,-3,3
24,8,7,1,0,0,1,12,0,9,3,1,-3,0,3,8,3,7,4,1,-3,0,-1,-2,3,9,3,1,-3,0,0,-1,3,8,1,0,-3,0,2,-2,3,8,2,0,-3,0,2,-2,3,8,1,0,-3,0,2,-2,3,8,2,0,-3,0,2,-2,3
25,7,6,1,0,0,2,11,0,10,9,0,-3,0,2,11,3,9,2,0,-3,0,0,-1,3,9,3,-1,-3,0,-1,0,3,9,3,0,-3,0,0,1,3,10,3,0,-3,0,-1,0,3,9,1,0,-3,0,0,-1,3,10,3,0,-3,0,-1,0,3
26,8,3,0,0,0,-2,10,0,7,4,0,-3,0,-1,-5,3,8,0,0,-2,0,-3,-3,3,6,0,0,-2,0,-2,-3,3,8,-2,0,-3,0,-3,-3,3,7,-2,0,-3,0,-2,-3,3,8,-2,0,-3,0,-3,-3,3,7,-2,0,-3,0,-2,-3,3
27,8,3,0,0,0,1,10,0,8,-2,0,-3,0,3,10,3,7,-2,0,-3,0,2,0,3,7,-3,-1,-3,0,1,-2,3,7,-4,-1,-3,0,-1,0,3,7,-3,-1,-3,0,0,0,3,7,-4,-1,-3,0,-2,-1,3,7,-3,-1,-3,0,0,0,3
28,9,7,1,0,0,-1,6,0,8,5,1,-3,0,0,6,3,8,4,1,-3,0,-1,-6,3,7,6,0,-3,0,1,-5,3,9,1,0,-3,0,1,-5,3,9,2,0,-3,0,1,-5,3,9,1,0,-3,0,1,-5,3,9,2,0,-3,0,1,-5,3
29,9,7,1,0,0,1,13,0,9,7,1,-3,0,3,1,0,8,3,1,-3,0,-1,-1,3,11,0,1,-3,0,0,0,3,7,4,0,-3,0,0,0,3,9,-1,0,-3,0,0,0,3,7,4,0,-3,0,0,0,3,9,-1,0,-3,0,0,0,3
30,8,3,1,1,0,-1,6,0,10,6,0,-3,0,2,6,3,8,4,0,-4,0,-2,-6,3,7,2,0,-4,0,-3,-6,3,8,2,0,-4,0,1,-5,3,10,1,0,-3,0,-2,-4,3,10,0,0,-3,0,1,-5,3,10,1,0,-3,0,-2,-4,3
31,10,8,0,0,0,2,11,0,9,6,0,-3,0,3,2,3,7,6,0,-4,0,4,11,3,10,4,0,-3,0,0,1,3,8,8,0,-4,0,1,1,3,10,4,0,-3,0,0,1,3,10,3,0,-3,0,1,1,3,10,4,0,-3,0,0,1,3
