,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,8,6,1,0,0,-1,14,0,10,-3,0,-2,0,4,-1,3,8,5,0,-2,0,3,-5,3,7,4,0,-3,0,1,-5,3,7,4,0,-3,0,-3,-5,3,8,4,0,-3,0,-3,-5,3,8,-1,0,-3,0,-4,-4,3,8,-1,0,-3,0,1,-5,3
1,8,5,1,0,0,3,11,0,10,1,1,0,0,1,1,3,7,8,1,-3,0,2,0,3,8,-3,0,-3,0,1,-3,3,7,2,0,-3,0,-2,-3,3,8,-3,0,-3,0,2,-3,3,7,2,0,-3,0,-1,-3,3,8,-3,0,-3,0,-1,-3,3
2,15,7,0,1,0,3,15,0,14,4,0,1,0,1,2,3,15,3,0,-2,0,3,4,3,13,5,0,-2,0,3,2,3,13,7,-1,-2,0,0,-1,3,15,3,-1,-2,0,1,0,3,13,7,-1,-2,0,3,-1,3,15,3,-1,-2,0,1,0,3
3,9,-2,1,0,0,11,11,0,9,0,1,0,0,11,8,0,8,4,-1,-3,0,10,5,3,10,-1,-1,-3,0,5,4,3,7,2,0,-3,0,6,4,3,10,-1,0,-3,0,7,5,3,7,2,0,-3,0,6,4,3,6,3,0,-3,0,7,5,3
4,7,7,1,0,0,15,11,0,7,9,1,-3,0,16,20,0,10,0,0,-3,0,13,4,3,7,7,0,-3,0,9,4,3,7,4,0,-3,0,10,4,3,8,-1,0,-3,0,11,5,3,7,9,0,-3,0,13,4,3,8,-1,0,-3,0,9,4,3
5,9,4,0,0,0,-3,13,0,9,-1,0,0,0,3,-3,3,9,6,0,-3,0,4,1,3,9,0,0,-3,0,3,1,3,10,5,0,-3,0,-3,-3,3,9,0,0,-3,0,-5,-3,3,10,-4,-1,-3,0,4,-1,3,9,4,-1,-3,0,0,-4,3
6,10,3,0,1,0,12,11,0,11,0,0,-1,0,12,10,0,8,4,0,-2,0,9,7,3,11,0,0,-1,0,9,7,3,8,4,0,-3,0,9,9,3,10,-1,0,-2,0,7,4,3,11,1,0,-2,0,7,5,3,8,3,0,-3,0,6,5,3
7,15,8,0,1,0,0,14,0,14,11,0,1,0,2,-2,3,13,4,0,-1,0,-2,-2,3,12,5,0,-3,0,-2,-2,3,12,4,0,-3,0,-1,-5,3,14,2,0,-2,0,2,-4,3,14,2,0,-2,0,-1,-5,3,14,2,0,-2,0,2,-4,3
8,11,-5,1,2,0,14,13,0,12,1,0,2,0,17,10,0,11,1,0,-1,0,13,9,3,8,2,0,-3,0,15,7,3,8,3,0,-3,0,16,7,3,9,3,0,-3,0,15,7,3,9,4,0,-3,0,16,7,3,8,2,0,-3,0,15,7,3
9,6,7,0,1,0,11,11,0,6,11,0,2,0,9,8,0,9,1,0,-1,0,8,8,3,7,8,0,-1,0,4,4,3,7,8,0,-1,0,7,5,3,6,9,0,-1,0,4,4,3,6,7,0,-2,0,7,5,3,6,8,0,-2,0,4,4,3
