,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,9,5,0,0,0,10,8,0,9,2,1,-3,0,12,13,0,10,7,1,-3,0,7,7,3,10,0,-1,-3,0,8,8,3,10,0,0,-3,0,8,8,3,11,0,0,-3,0,9,8,3,10,-2,0,-3,0,8,9,3,11,0,0,-3,0,11,8,3
1,7,6,1,0,0,6,10,0,7,3,0,-3,0,6,1,0,7,2,0,-3,0,5,0,3,7,2,0,-3,0,1,0,3,7,-1,0,-3,0,0,-3,3,5,4,0,-3,0,4,-1,3,7,-1,0,-3,0,0,-3,3,5,4,0,-3,0,4,-1,3
2,13,3,0,1,0,3,11,0,11,5,0,1,0,3,1,0,12,7,-1,-2,0,1,1,3,13,2,0,-2,0,2,0,3,12,7,0,-2,0,-1,-3,3,12,3,-1,-2,0,-2,-3,3,11,2,-1,-2,0,-1,-3,3,11,6,-1,-2,0,-2,-3,3
3,10,-1,1,3,0,-2,17,0,7,6,0,2,0,1,-1,3,10,0,0,0,0,0,-2,3,7,4,0,-1,0,-3,-1,3,9,-1,0,-1,0,-1,1,3,10,0,0,-1,0,-3,-1,3,9,-1,0,-1,0,-1,1,3,7,4,0,-2,0,-3,-1,3
4,12,3,1,2,0,17,11,0,12,2,1,2,0,16,12,0,13,3,0,-1,0,12,5,3,12,4,1,-1,0,11,5,3,10,9,1,-1,0,11,6,3,10,7,0,-1,0,14,5,3,10,7,0,-1,0,13,6,3,13,2,0,-1,0,14,5,3
5,8,-3,1,1,0,16,18,0,8,4,0,-2,0,15,19,0,7,3,0,-2,0,13,15,3,7,2,0,-2,0,10,12,3,10,-2,0,-2,0,10,13,3,7,1,0,-3,0,10,12,3,8,2,0,-3,0,11,13,3,7,1,0,-3,0,13,12,3
6,15,9,1,4,0,13,11,0,16,5,1,4,0,9,9,0,16,6,0,1,0,8,8,3,15,6,0,1,0,10,5,3,13,10,0,1,0,9,5,3,13,11,0,1,0,6,4,3,13,10,0,1,0,5,5,3,13,11,0,1,0,4,5,3
7,14,0,0,2,0,14,14,0,13,9,0,-1,0,14,13,0,11,3,0,-1,0,9,7,3,13,9,-1,-1,0,10,7,3,11,3,0,-1,0,11,7,3,12,0,-1,-1,0,8,7,3,12,-1,-1,-1,0,8,7,3,10,4,-1,-1,0,9,8,3
8,10,8,1,2,0,6,14,0,11,7,1,2,0,7,1,3,11,8,0,-1,0,4,-3,3,10,6,1,-1,0,4,0,3,10,5,0,-1,0,6,-1,3,11,7,0,-1,0,4,-1,3,10,5,0,-1,0,3,-3,3,11,7,0,-1,0,5,-4,3
9,7,7,0,0,0,6,4,0,7,11,0,0,0,4,1,0,7,3,0,-3,0,4,0,3,7,3,-1,-3,0,-1,-3,3,8,2,-1,-3,0,0,-1,3,8,0,-1,-3,0,2,-2,3,8,-1,-1,-3,0,0,-1,3,7,3,-1,-3,0,2,-2,3
10,12,3,1,1,0,7,13,0,12,4,1,1,0,8,13,0,10,6,1,-2,0,10,7,3,10,4,0,-2,0,9,7,3,10,4,0,-2,0,8,6,3,10,4,0,-2,0,9,9,3,10,4,0,-2,0,11,9,3,10,4,0,-2,0,7,6,3
11,14,6,0,1,0,14,11,0,14,6,0,1,0,14,10,0,15,4,0,-2,0,11,7,3,12,4,0,-2,0,10,5,3,14,3,-1,-2,0,10,4,3,12,7,-1,-2,0,8,4,3,14,3,-1,-2,0,7,4,3,12,7,-1,-2,0,8,4,3
12,9,0,1,1,0,15,17,0,10,1,0,-1,0,14,17,0,11,6,0,-2,0,12,13,3,11,0,0,-2,0,12,14,3,10,-1,0,-2,0,8,10,3,8,4,0,-3,0,9,10,3,7,2,0,-3,0,10,11,3,7,3,0,-3,0,12,10,3
13,12,8,0,1,0,5,12,0,12,10,0,1,0,6,10,0,12,10,0,-1,0,8,4,3,12,4,0,-1,0,5,3,3,12,4,0,-2,0,9,6,3,12,8,0,-2,0,0,4,3,12,9,0,-2,0,9,6,3,13,3,0,-2,0,0,4,3
14,10,1,1,0,0,4,3,0,9,10,0,1,0,7,5,0,9,8,0,-2,0,2,-2,3,12,-1,0,-2,0,1,-2,3,10,5,0,-3,0,4,-2,3,9,3,0,-3,0,1,-2,3,11,1,0,-2,0,1,-2,3,9,3,0,-3,0,1,-2,3
15,12,6,0,1,0,9,15,0,11,3,0,1,0,8,15,0,10,3,0,-2,0,7,13,3,11,1,0,-2,0,13,11,3,11,-1,-1,-2,0,6,9,3,12,0,-1,-2,0,10,9,3,11,-1,-1,-2,0,10,9,3,12,0,-1,-2,0,10,9,3
16,5,6,1,1,0,12,9,0,7,-4,1,1,0,11,9,0,6,4,0,-2,0,10,5,3,5,0,-1,-2,0,8,3,3,6,2,-1,-2,0,4,2,3,7,-2,0,-2,0,5,2,3,5,0,0,-2,0,8,4,3,6,1,0,-2,0,8,3,3
17,8,9,0,2,0,16,8,0,9,0,0,3,0,15,8,0,7,3,0,-1,0,13,6,3,9,6,0,-1,0,13,2,3,8,0,0,-1,0,9,2,3,5,2,0,-2,0,10,2,3,6,4,0,-2,0,9,2,3,6,3,0,-2,0,11,3,3
18,11,8,1,2,0,14,11,0,11,4,1,2,0,14,11,0,11,6,0,-1,0,11,9,3,10,8,0,-1,0,8,7,3,11,6,0,-1,0,9,7,3,10,8,0,-1,0,8,8,3,11,6,0,-1,0,11,7,3,10,8,0,-1,0,7,6,3
19,8,-1,0,0,0,7,9,0,8,4,0,0,0,15,10,0,8,4,0,-3,0,6,7,3,6,0,-2,-3,0,6,6,3,8,-3,-1,-3,0,6,7,3,8,-4,-1,-3,0,9,2,3,6,1,-1,-3,0,5,3,3,8,-4,-1,-3,0,4,3,3
20,10,1,0,0,0,13,15,0,11,1,0,0,0,13,15,0,11,0,0,-3,0,11,9,3,9,5,-1,-3,0,10,9,3,9,7,-1,-3,0,10,10,3,10,-3,-1,-3,0,6,8,3,9,2,-1,-3,0,10,10,3,10,-3,-1,-3,0,6,8,3
21,10,6,0,1,0,9,12,0,10,1,0,1,0,10,12,0,10,3,0,-1,0,8,11,3,10,2,0,-1,0,8,12,3,11,7,0,-1,0,7,10,3,10,6,0,-2,0,5,10,3,10,6,0,-2,0,4,8,3,11,6,0,-2,0,7,9,3
22,17,0,1,1,0,3,1,0,15,10,1,1,0,6,3,0,17,0,1,-2,0,3,0,3,16,1,1,-2,0,1,-3,3,17,0,1,-2,0,0,-3,3,16,1,1,-2,0,0,-2,3,15,-1,0,-2,0,3,-3,3,15,0,0,-2,0,0,-2,3
23,13,12,0,3,0,12,14,0,14,8,0,3,0,10,14,0,14,3,0,1,0,4,10,3,10,6,0,-1,0,10,12,3,11,6,0,-1,0,7,8,3,11,7,0,-1,0,7,7,3,11,6,0,-1,0,7,6,3,14,3,0,0,0,3,7,3
24,14,2,1,2,0,17,12,0,13,1,1,2,0,14,6,0,12,5,0,-1,0,12,9,3,10,6,0,-1,0,14,6,3,14,1,-1,-1,0,10,6,3,12,6,0,-1,0,14,6,3,12,7,0,-1,0,13,4,3,14,2,0,-1,0,11,6,3
25,13,9,0,1,0,10,10,0,14,6,0,1,0,9,10,0,12,4,0,-2,0,7,4,3,12,8,-1,-2,0,7,4,3,12,7,-1,-2,0,4,5,3,12,8,-1,-2,0,6,4,3,12,7,-1,-2,0,4,5,3,12,8,-1,-2,0,6,4,3
26,15,4,0,1,0,4,7,0,16,0,0,1,0,3,7,0,15,3,0,-2,0,2,4,3,16,1,0,-2,0,5,0,3,13,2,0,-2,0,0,1,3,13,5,-1,-2,0,5,1,3,13,5,-1,-2,0,0,1,3,13,5,-1,-2,0,5,1,3
27,8,11,0,0,0,13,12,0,8,9,0,0,0,12,14,0,9,6,0,-3,0,7,10,3,8,2,-1,-3,0,13,11,3,9,-3,-1,-3,0,5,7,3,8,7,-1,-3,0,6,8,3,9,-3,-1,-3,0,10,8,3,8,7,-1,-3,0,6,8,3
28,10,3,1,1,0,10,9,0,10,3,1,1,0,10,9,0,10,1,1,-2,0,4,4,3,8,4,0,-2,0,6,3,3,10,0,0,-2,0,0,3,3,8,4,0,-2,0,6,3,3,10,0,0,-2,0,0,3,3,8,4,0,-2,0,6,3,3
29,14,5,1,1,0,15,21,0,17,3,1,1,0,11,13,0,16,4,1,-2,0,14,15,3,15,6,0,-2,0,14,12,3,14,5,0,-2,0,11,12,3,15,6,0,-2,0,11,12,3,14,5,0,-2,0,11,12,3,15,6,0,-2,0,11,12,3
30,9,8,0,3,0,7,10,0,9,8,0,3,0,13,11,0,10,-1,0,1,0,6,7,3,6,2,0,-1,0,9,3,3,7,2,0,-1,0,9,3,3,7,3,0,-1,0,5,4,3,7,2,0,-1,0,4,4,3,9,-2,0,0,0,12,6,3
31,10,10,1,1,0,8,10,0,12,0,1,1,0,11,21,0,11,7,0,-2,0,7,6,3,10,9,1,-2,0,5,6,3,13,0,-1,-2,0,7,6,3,9,5,0,-2,0,5,6,3,13,0,0,-2,0,7,6,3,11,6,0,-2,0,5,6,3
32,13,4,0,2,0,3,-1,0,13,5,0,2,0,0,-3,0,11,2,0,-1,0,1,-2,3,11,2,-1,-1,0,-2,-3,3,12,3,-1,-1,0,-3,-5,3,11,2,-1,-1,0,-4,-5,3,12,3,-1,-1,0,-5,-6,3,11,2,-1,-1,0,-4,-5,3
33,11,0,0,4,0,15,10,0,11,-1,0,4,0,13,8,0,8,6,0,0,0,16,7,3,8,8,0,0,0,15,7,3,8,1,0,0,0,16,7,3,11,-1,0,0,0,15,7,3,8,4,0,-1,0,16,7,3,11,-1,0,0,0,15,7,3
34,10,9,0,1,0,0,12,0,8,13,0,0,0,0,7,3,8,10,0,-2,0,1,-3,3,10,5,0,-2,0,-1,-2,3,11,3,0,-2,0,-1,-2,3,8,7,0,-3,0,-1,-2,3,8,8,0,-3,0,-1,-2,3,10,5,0,-2,0,-1,-2,3
35,13,12,0,3,0,4,3,0,14,3,0,1,0,3,4,0,13,4,0,1,0,-1,1,3,12,6,0,0,0,1,1,3,13,4,0,1,0,-2,-2,3,11,6,0,-1,0,1,-3,3,14,3,0,0,0,-5,-2,3,13,2,0,0,0,1,-3,3
36,13,3,0,4,0,12,7,0,10,5,0,3,0,12,7,0,14,-1,0,1,0,13,6,3,11,4,0,0,0,11,4,3,11,2,0,0,0,12,4,3,13,0,0,1,0,8,4,3,11,2,0,0,0,12,4,3,13,0,0,1,0,8,4,3
37,13,7,0,1,0,13,10,0,13,9,0,1,0,12,5,3,13,9,0,-1,0,10,9,3,14,2,0,-2,0,10,6,3,13,8,0,-2,0,9,4,3,14,2,0,-2,0,13,6,3,13,8,0,-2,0,8,6,3,14,2,0,-2,0,7,5,3
38,13,8,0,3,0,3,16,0,13,8,0,3,0,-1,0,0,13,5,0,1,0,2,0,3,11,11,0,0,0,2,0,3,13,5,0,1,0,1,-2,3,11,9,0,-1,0,-3,-4,3,13,4,0,0,0,-4,-3,3,14,4,0,0,0,-5,-3,3
39,11,3,0,1,0,12,9,0,12,-1,0,1,0,12,9,0,12,1,0,-1,0,9,6,3,12,0,0,-1,0,9,6,3,11,7,0,-2,0,9,3,3,10,4,0,-2,0,6,3,3,11,6,0,-3,0,6,3,3,13,-1,0,-2,0,6,3,3
40,10,3,0,2,0,9,11,0,10,10,0,2,0,12,9,0,10,1,0,-1,0,10,6,3,11,0,-1,-1,0,10,5,3,10,0,-1,-1,0,10,4,3,8,3,-1,-1,0,9,4,3,8,4,-1,-1,0,10,4,3,8,3,-1,-1,0,9,4,3
41,9,3,0,2,0,15,13,0,9,4,0,2,0,14,13,0,9,7,0,-2,0,12,9,3,7,3,0,-3,0,9,6,3,6,3,0,-3,0,9,7,3,7,4,0,-3,0,9,6,3,7,3,0,-3,0,10,7,3,7,4,0,-3,0,12,6,3
42,7,5,0,0,0,9,13,0,7,5,0,0,0,5,11,0,8,5,0,-2,0,6,6,3,8,-1,0,-3,0,6,6,3,7,0,0,-3,0,6,7,3,8,-4,0,-3,0,2,5,3,7,0,0,-3,0,3,5,3,7,4,0,-3,0,6,6,3
43,13,8,0,1,0,12,10,0,13,12,0,2,0,14,10,0,15,3,0,-1,0,10,3,3,13,8,0,-2,0,8,2,3,14,3,0,-2,0,8,2,3,13,9,0,-2,0,3,3,3,14,3,0,-2,0,8,3,3,13,9,0,-2,0,10,5,3
44,14,6,0,1,0,10,10,0,14,6,0,1,0,9,9,0,12,5,0,-2,0,6,6,3,14,2,-1,-2,0,10,7,3,15,2,-1,-2,0,8,7,3,12,4,-1,-2,0,8,6,3,12,7,-1,-2,0,6,6,3,12,7,-1,-2,0,10,7,3
45,9,8,0,0,0,13,11,0,7,9,0,0,0,10,2,0,7,6,0,-3,0,12,2,3,7,9,-1,-3,0,12,-1,3,7,9,-1,-3,0,12,0,3,7,9,-1,-3,0,10,0,3,7,9,-1,-3,0,10,-1,3,7,9,-1,-3,0,8,-1,3
46,18,0,0,3,0,14,14,0,15,5,0,3,0,14,14,0,17,2,0,0,0,9,10,3,17,1,0,0,0,9,10,3,15,5,-1,0,0,12,8,3,16,3,-1,0,0,12,9,3,15,2,-1,0,0,10,9,3,16,3,-1,0,0,9,7,3
47,5,4,0,0,0,14,12,0,7,4,0,1,0,13,10,0,5,7,0,-2,0,9,5,3,6,-1,0,-3,0,10,6,3,5,1,0,-3,0,7,7,3,6,-1,0,-3,0,12,5,3,6,-2,0,-3,0,6,6,3,6,-1,0,-3,0,9,5,3
48,10,-3,0,1,0,16,10,0,8,9,0,2,0,12,9,0,11,2,0,-1,0,13,8,3,9,0,0,-2,0,11,5,3,9,0,0,-2,0,7,5,3,9,0,0,-2,0,13,4,3,9,0,0,-2,0,7,5,3,9,0,0,-2,0,13,4,3
49,10,3,0,3,0,13,10,0,10,3,0,3,0,13,10,0,9,3,0,-1,0,12,6,3,10,-1,0,-1,0,12,7,3,8,3,0,-2,0,11,8,3,8,3,0,-2,0,9,7,3,8,3,0,-2,0,11,8,3,8,3,0,-2,0,9,7,3
50,8,3,1,2,0,17,11,0,7,8,0,2,0,17,21,0,9,0,0,-1,0,13,5,3,7,1,0,-2,0,11,5,3,8,3,0,-2,0,12,6,3,8,3,0,-2,0,14,5,3,7,1,0,-2,0,12,6,3,8,3,0,-2,0,14,5,3
