,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,6,3,1,2,0,1,11,0,8,6,0,-2,0,3,2,3,5,2,0,-3,0,3,11,3,8,0,0,-2,0,-2,0,3,8,0,0,-2,0,0,1,3,8,0,0,-2,0,-1,1,3,8,0,0,-2,0,0,1,3,8,0,0,-2,0,-2,0,3
1,6,12,3,2,0,2,10,0,6,9,4,0,0,1,9,3,5,21,4,0,0,2,1,3,6,15,0,0,0,0,-2,3,6,9,2,-2,0,-1,0,3,4,12,3,-1,0,0,0,3,10,19,0,3,0,-1,0,3,-2,15,2,2,0,0,0,3
2,9,4,1,0,0,0,10,0,11,1,1,-3,0,0,-2,3,12,1,0,-3,0,-2,0,3,11,-1,0,-3,0,-1,0,3,8,5,0,-3,0,0,-1,3,11,-1,0,-3,0,-1,0,3,8,5,0,-3,0,0,-1,3,11,-1,0,-3,0,1,-1,3
3,6,7,1,0,0,1,11,0,7,9,1,-3,0,3,11,3,7,3,1,-3,0,-2,0,3,4,5,0,-3,0,2,0,3,7,1,0,-3,0,-1,1,3,4,5,0,-3,0,0,1,3,7,1,0,-3,0,-2,0,3,4,5,0,-3,0,0,1,3
4,9,8,0,0,0,0,7,0,7,7,0,-2,0,2,-2,3,5,5,0,-4,0,2,6,3,6,6,0,-4,0,0,-4,3,8,3,0,-3,0,1,-4,3,8,4,0,-3,0,0,-4,3,8,3,0,-3,0,1,-4,3,8,4,0,-3,0,0,-4,3
5,9,4,0,0,0,5,8,2,11,7,0,-3,0,3,19,3,10,3,0,-3,0,13,-18,2,11,-1,-1,-3,0,1,-8,4,11,0,-1,-3,0,4,5,4,8,3,-1,-3,0,6,-6,2,11,0,-1,-3,0,11,-1,1,11,-1,-1,-3,0,-2,-7,4
6,7,4,1,2,0,-2,7,0,8,3,0,-1,0,-3,-4,3,9,3,0,-2,0,1,6,3,9,1,0,-2,0,-4,-4,3,9,2,0,-2,0,-2,-3,3,9,1,0,-2,0,-4,-4,3,7,4,0,-3,0,-2,-3,3,9,1,0,-2,0,-4,-4,3
7,6,1,1,3,0,1,12,0,7,-1,0,-1,0,3,0,3,8,-3,0,-1,0,2,8,3,5,0,0,-2,0,0,-3,3,8,-3,0,-1,0,1,-2,3,8,-2,0,-1,0,0,-1,3,8,-3,0,-1,0,1,-2,3,8,-2,0,-1,0,0,-1,3
8,26,20,3,3,0,1,11,0,20,25,3,2,0,1,-1,3,22,22,0,4,0,0,-1,3,25,18,0,4,0,-2,-1,3,33,21,3,1,0,-1,-1,3,14,13,1,0,0,0,-1,3,9,21,4,1,0,0,1,3,35,22,1,0,0,0,1,3
9,8,7,0,2,0,0,9,0,9,4,0,0,0,-2,-3,3,8,3,0,-1,0,2,9,3,8,4,0,-1,0,1,-2,3,8,3,0,-1,0,1,-2,3,6,6,0,-2,0,1,-2,3,8,3,0,-1,0,1,-2,3,6,6,0,-2,0,1,-2,3
10,5,8,2,-1,0,0,6,0,14,9,3,0,0,1,-3,3,12,0,0,-2,0,1,-5,3,29,8,6,-6,0,0,-5,3,20,12,7,-6,0,1,-5,3,16,5,2,-6,0,0,-5,3,7,6,0,-1,0,1,-5,3,10,13,0,4,0,0,-5,3
11,35,25,3,2,0,0,10,0,27,24,3,-2,0,-1,-1,3,22,45,4,2,0,0,0,3,20,26,3,-3,0,0,0,3,-2,8,0,-3,0,0,0,3,22,32,2,0,0,0,0,3,27,33,5,0,0,0,0,3,18,26,4,0,0,0,0,3
12,6,5,0,1,0,-1,7,0,8,2,0,-1,0,-2,-1,3,7,1,0,-2,0,1,6,3,5,4,0,-3,0,-2,-3,3,7,1,0,-2,0,-2,-3,3,5,4,0,-3,0,-2,-3,3,7,1,0,-2,0,-2,-3,3,5,4,0,-3,0,-2,-3,3
13,7,5,1,0,0,2,10,0,7,3,1,-3,0,2,1,3,8,2,1,-3,0,3,1,3,8,-1,0,-3,0,0,10,3,8,0,0,-3,0,0,0,3,8,-1,0,-3,0,-3,-1,3,8,0,0,-3,0,0,-2,3,8,-1,0,-3,0,-1,-1,3
14,27,24,0,1,0,0,6,0,13,15,0,5,0,1,7,3,25,22,2,2,0,-3,-2,3,-6,9,5,-2,0,-2,-2,3,26,22,1,2,0,-4,-3,3,29,21,2,1,0,-2,-2,3,22,22,1,2,0,-4,-3,3,31,29,3,1,0,-2,-2,3
15,6,4,0,0,0,1,14,0,10,7,0,-3,0,2,3,3,9,0,-1,-3,0,-1,1,3,9,-1,-1,-3,0,0,1,3,9,0,-1,-3,0,-1,1,3,9,-1,-1,-3,0,0,1,3,9,0,-1,-3,0,-1,1,3,9,-1,-1,-3,0,0,1,3
16,8,6,0,0,0,2,10,0,7,3,0,-2,0,-1,-3,3,8,8,0,-3,0,-3,-4,3,6,3,0,-4,0,-1,-3,3,8,2,0,-3,0,0,-4,3,8,1,0,-3,0,-1,-3,3,8,2,0,-3,0,-2,-3,3,8,1,0,-3,0,-1,-3,3
17,-4,13,1,0,0,1,9,0,8,4,2,2,0,2,-1,3,4,6,0,0,0,3,9,3,1,13,-1,0,0,1,-2,3,1,12,-1,1,0,2,-2,3,-4,13,0,-1,0,1,-2,3,-1,9,3,-2,0,2,-2,3,0,10,3,-2,0,1,-2,3
18,8,6,0,0,0,6,10,0,8,2,0,-2,0,6,1,2,6,4,0,-4,0,-3,19,0,6,5,0,-4,0,7,16,0,8,2,0,-3,0,1,9,2,8,3,0,-3,0,0,5,0,8,2,0,-3,1,6,13,0,8,3,0,-3,0,1,10,1
19,9,5,0,1,0,12,13,1,9,1,0,-1,0,20,23,2,7,3,0,-3,0,5,0,2,9,1,0,-2,1,21,12,2,9,1,0,-2,0,19,8,2,9,1,0,-2,0,4,10,2,6,3,0,-3,0,29,9,0,9,1,0,-2,0,13,10,4
20,9,7,0,0,0,1,12,0,8,3,0,-3,0,3,0,3,8,-1,-1,-3,0,1,9,3,8,0,-1,-3,0,0,-1,3,8,-1,-1,-3,0,-1,-1,3,8,0,-1,-3,0,0,-1,3,8,-1,-1,-3,0,-2,-2,3,8,0,-1,-3,0,0,-1,3
21,9,6,1,0,0,2,10,0,9,8,1,-3,0,1,-2,3,6,4,0,-3,0,3,9,3,7,5,0,-3,0,-3,-1,3,9,0,0,-3,0,0,0,3,7,5,0,-3,0,-1,-1,3,9,0,0,-3,0,0,-2,3,7,5,0,-3,0,-1,-1,3
22,10,9,1,0,0,0,7,0,9,10,1,-3,0,2,6,3,10,6,1,-3,0,-2,-3,3,9,10,1,-3,0,-1,-3,3,6,13,-1,-1,0,0,-4,3,15,12,0,-3,0,-1,-3,3,16,6,4,-5,0,0,-4,3,5,9,1,-4,0,-1,-3,3
23,8,5,0,0,0,-2,7,0,8,8,0,-3,0,0,-2,3,5,3,-1,-3,0,-3,-5,3,6,4,-1,-3,0,-5,-5,3,8,-1,-1,-3,0,-4,-4,3,6,4,-1,-3,0,-2,-4,3,8,-1,-1,-3,0,-3,-3,3,6,4,-1,-3,0,-2,-4,3
24,9,9,1,0,0,8,-9,2,9,10,1,-3,0,7,-4,0,8,3,1,-3,0,1,6,4,8,2,0,-3,0,8,-10,2,8,1,0,-3,0,12,-14,5,8,2,0,-3,0,4,-10,2,8,1,0,-3,0,11,-5,0,8,2,0,-3,0,3,-19,3
25,9,2,0,1,0,1,7,0,8,0,0,-1,0,2,6,3,9,0,0,-2,0,-1,-3,3,9,-2,0,-2,0,2,-4,3,9,-1,0,-2,0,-2,-4,3,9,-2,0,-2,0,2,-4,3,9,-1,0,-2,0,-2,-4,3,9,-2,0,-2,0,2,-4,3
26,8,5,0,0,0,0,9,0,7,3,0,-3,0,2,8,3,5,3,-1,-3,0,-2,-3,3,8,0,-1,-3,0,-1,-2,3,8,-1,-1,-3,0,-1,-2,3,8,0,-1,-3,0,-1,-2,3,8,-1,-1,-3,0,-1,-2,3,8,0,-1,-3,0,-1,-2,3
27,15,5,5,0,0,0,8,0,18,5,4,1,0,1,-1,3,6,9,3,1,0,1,8,3,8,0,1,2,0,-2,-4,3,7,-7,1,2,0,-2,-2,3,12,7,1,1,0,-2,-2,3,11,-10,1,2,0,-2,-2,3,11,9,0,2,0,-2,-2,3
28,7,4,0,0,0,-1,7,0,7,1,1,-3,0,3,-7,3,9,-2,1,-3,0,6,-3,3,9,-2,1,-3,0,-3,-7,3,9,-2,1,-3,0,-2,-7,3,8,-3,0,-3,0,2,-8,3,6,1,0,-3,0,-2,-7,3,6,1,0,-3,0,2,-8,3
