,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,8,5,1,0,0,1,12,0,7,2,1,-3,0,3,9,3,6,4,0,-3,0,-1,-1,3,8,-1,0,-3,0,0,-1,3,6,4,0,-3,0,-2,-2,3,8,-1,0,-3,0,0,-1,3,6,4,0,-3,0,-2,-2,3,8,-1,0,-3,0,0,-1,3
1,8,7,0,2,0,1,12,0,7,5,0,-1,0,3,11,3,5,5,0,-2,0,-1,0,3,8,4,0,-1,0,2,0,3,8,3,0,-1,0,2,0,3,8,4,0,-1,0,2,0,3,8,3,0,-1,0,2,0,3,6,6,0,-2,0,2,0,3
2,10,8,5,-2,0,0,14,0,5,11,6,1,0,0,-1,3,3,12,3,5,0,-2,0,3,4,5,2,6,0,-1,-1,3,8,6,2,1,0,-1,1,3,3,13,3,-1,0,-1,1,3,9,5,3,0,0,-1,1,3,3,11,3,1,0,-1,1,3
3,7,7,0,1,0,-2,14,0,9,11,0,-2,0,2,-1,3,8,3,0,-2,0,0,9,3,7,5,0,-2,0,1,-3,3,8,3,0,-2,0,-3,-3,3,9,3,0,-2,0,-1,-2,3,8,3,0,-2,0,-2,-2,3,7,5,0,-2,0,1,-3,3
4,8,5,0,0,0,4,13,0,7,3,0,-3,0,2,-1,3,8,1,-1,-3,0,1,8,3,6,5,-1,-3,0,-1,-2,3,8,-1,-1,-3,0,-2,-3,3,6,5,-1,-3,0,-1,-2,3,8,-1,-1,-3,0,-4,-3,3,6,5,-1,-3,0,-1,-2,3
5,6,2,0,0,0,26,42,1,8,5,1,-3,0,15,67,3,8,0,1,-3,0,35,18,4,8,-1,0,-3,0,7,71,1,6,2,0,-3,0,10,62,4,8,-3,0,-3,0,27,81,1,6,2,0,-3,0,25,45,4,8,-3,0,-3,1,51,11,3
6,9,8,1,1,0,3,12,0,9,6,0,-1,0,-2,0,3,6,5,0,-3,0,0,10,3,9,3,0,-2,0,-2,-3,3,9,3,0,-2,0,-3,-3,3,6,5,0,-3,0,-2,-3,3,9,1,0,-2,0,-3,-3,3,9,3,0,-2,0,-2,-3,3
7,10,7,-1,0,0,2,9,0,9,4,0,-3,0,2,0,3,8,6,-1,-3,0,3,9,3,10,0,-1,-3,0,0,-3,3,7,6,-1,-3,0,-1,-2,3,10,0,-1,-3,0,0,-3,3,7,6,-1,-3,0,-1,-2,3,10,0,-1,-3,0,0,-1,3
8,8,7,0,0,0,2,9,0,8,4,0,-2,0,1,-1,3,9,5,0,-2,0,-2,0,3,8,5,0,-3,0,0,1,3,8,6,0,-3,0,-1,1,3,10,1,0,-2,0,0,1,3,7,4,0,-3,0,-1,1,3,8,5,0,-3,0,0,1,3
9,11,7,1,1,0,0,7,0,10,3,1,-2,0,2,-2,3,9,4,0,-2,0,2,7,3,11,-1,0,-2,0,0,-2,3,11,0,0,-2,0,-1,-5,3,11,-1,0,-2,0,-2,-3,3,11,0,0,-2,0,-1,-3,3,11,-1,0,-2,0,-2,-3,3
10,7,3,0,0,0,1,7,0,8,5,0,-2,0,1,7,3,8,6,0,-2,0,-1,-3,3,7,9,0,-2,0,-2,-4,3,7,9,-1,-2,0,-1,-5,3,6,7,-1,-3,0,-2,-4,3,6,7,-1,-3,0,-1,-3,3,6,7,-1,-3,0,-4,-4,3
11,9,9,0,2,0,1,11,0,8,6,0,-1,0,3,10,3,6,6,0,-2,0,-2,0,3,6,7,0,-2,0,2,0,3,8,2,0,-1,0,-2,0,3,7,8,0,-2,0,2,0,3,6,6,0,-2,0,-2,0,3,79,3,0,2,0,2,0,3
12,7,4,1,0,0,1,12,0,9,0,1,-3,0,3,2,3,7,3,0,-3,0,-1,0,3,9,-2,0,-3,0,0,-1,3,9,-1,0,-3,0,2,0,3,9,-2,0,-3,0,2,0,3,9,-1,0,-3,0,2,0,3,9,-2,0,-3,0,2,0,3
13,9,7,0,1,0,1,10,0,9,8,0,-2,0,1,11,3,8,4,0,-2,0,0,-2,3,8,4,0,-1,0,0,0,3,9,1,0,-2,0,-1,0,3,9,2,0,-2,0,0,0,3,9,1,0,-2,0,-1,0,3,9,2,0,-2,0,0,0,3
14,8,2,1,2,0,0,15,0,10,0,0,-2,0,-1,9,3,11,2,0,-1,0,-2,-6,3,11,-1,0,-2,0,0,-7,3,9,2,0,-3,0,-2,-6,3,11,-1,0,-2,0,2,-4,3,9,2,0,-3,0,-2,-6,3,11,-1,0,-2,0,-3,-5,3
15,9,2,1,2,0,13,8,0,11,5,0,-2,0,16,9,0,12,0,0,-1,0,13,5,3,10,1,0,-1,0,12,4,3,9,2,0,-3,0,13,5,3,11,-1,0,-2,0,7,4,3,9,2,0,-3,0,10,3,3,11,-1,0,-2,0,12,4,3
16,9,6,0,1,0,-2,4,0,7,2,0,-2,0,2,-2,3,6,3,0,-3,0,-1,8,3,6,4,0,-3,0,0,-5,3,5,3,0,-3,0,-3,-6,3,8,2,0,-2,0,0,-5,3,8,1,0,-2,0,-3,-6,3,8,2,0,-2,0,0,-5,3
