,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,4,6,0,2,0,4,-3,2,8,0,0,0,0,2,6,-1,4,-6,0,0,0,-5,8,4,4,1,0,0,0,3,-8,2,7,-8,0,0,0,-2,5,3,1,2,0,0,0,1,-11,1,7,-7,0,0,0,-8,-2,2,1,2,0,0,0,-1,-15,2
1,-5,11,0,2,0,3,18,1,-3,12,0,1,0,2,4,2,1,5,0,0,0,4,3,2,-5,7,0,0,0,4,1,2,1,6,0,0,0,0,5,2,-6,8,0,0,0,4,1,2,0,0,0,0,0,0,5,2,0,-2,0,0,0,4,4,2
2,6,7,0,3,0,3,2,0,4,8,0,3,0,6,0,0,7,-3,0,0,0,2,0,0,7,-5,0,0,0,6,-1,2,1,6,0,0,0,3,3,2,7,-4,0,0,0,4,1,2,1,5,0,0,0,4,-1,2,7,-3,0,0,0,0,3,2
3,6,2,0,0,0,7,0,0,8,-9,0,-1,0,2,0,0,1,-1,0,-2,0,2,-2,2,7,-8,0,-2,0,4,-1,2,0,-1,0,-2,0,0,3,2,7,-8,0,-2,0,4,2,2,4,-8,0,-2,0,0,0,2,4,0,0,-2,0,4,1,2
4,6,8,1,2,0,5,8,0,1,6,0,2,0,8,-2,1,7,-2,0,0,0,6,2,1,7,-4,0,0,0,4,-2,1,1,7,0,0,0,6,-1,1,7,-3,0,0,0,2,3,1,1,6,0,0,0,6,-1,1,7,-2,0,0,0,2,3,1
5,3,4,0,2,0,4,16,0,1,4,0,0,0,0,7,1,-6,9,0,0,0,6,0,1,0,-1,0,0,0,6,-1,1,-6,8,0,0,0,2,2,1,0,0,0,0,0,7,-1,1,-6,8,0,0,0,2,2,1,0,0,0,0,0,6,1,1
6,12,-4,0,6,0,-1,10,0,7,-2,0,3,0,-4,3,1,1,2,0,4,0,0,0,1,7,-6,0,2,0,-4,3,1,0,1,0,2,0,0,2,1,7,-6,0,2,0,-3,1,1,4,-6,0,2,0,0,1,1,3,1,0,2,0,0,-1,1
7,7,5,0,3,0,0,18,1,3,6,0,2,0,1,1,2,7,-3,0,0,0,5,0,2,1,7,0,0,0,-1,1,2,7,-2,0,0,0,3,2,2,0,6,0,0,0,1,2,2,7,-1,0,0,0,1,3,2,4,-1,0,0,0,4,1,2
8,4,10,0,3,0,5,1,0,10,7,0,3,0,4,-2,0,2,7,0,2,0,0,3,2,7,-2,0,0,0,5,0,2,1,7,0,0,0,0,3,2,7,-1,0,0,0,4,1,2,4,-1,0,0,0,3,1,2,4,7,0,0,0,2,2,2
9,4,10,0,2,0,0,11,1,10,9,0,1,0,-3,5,2,2,6,0,0,0,1,3,2,7,-1,0,0,0,-3,2,2,4,-1,0,0,0,0,2,2,4,7,0,0,0,-2,1,2,7,-3,0,0,0,-2,3,2,1,7,0,0,0,0,0,2
10,14,1,0,7,0,3,8,0,8,19,3,4,0,2,-2,1,17,13,1,4,0,4,-1,1,8,10,2,2,0,0,3,1,4,13,4,1,0,4,0,1,13,6,1,3,0,0,3,1,12,7,3,1,0,4,1,1,12,-3,3,1,0,2,0,1
11,8,6,0,3,0,5,0,0,-1,3,0,2,0,6,-1,0,6,-4,0,0,0,0,2,2,-1,3,0,0,0,4,1,2,6,-4,0,0,0,1,0,2,3,-4,0,0,0,4,0,2,2,3,0,0,0,2,0,2,6,-6,0,0,0,2,1,2
12,5,5,0,3,0,7,34,1,1,8,0,3,0,-5,23,2,6,-4,0,2,0,-2,35,1,3,-4,0,2,0,1,29,2,2,3,0,0,0,4,16,5,6,-6,0,0,0,6,18,3,0,4,0,0,0,10,16,3,6,-5,0,0,0,5,28,0
13,5,3,0,2,0,4,8,1,7,-3,0,0,0,6,1,2,0,0,0,0,0,4,1,2,6,-8,0,0,0,3,2,2,3,-8,0,0,0,5,0,2,3,0,0,0,0,1,3,2,6,-10,0,0,0,5,-1,2,0,1,0,0,0,1,3,2
14,9,2,0,2,0,3,8,1,8,-9,0,1,0,3,-3,2,2,4,0,1,0,0,0,2,7,-8,0,0,0,4,1,2,0,-1,0,0,0,4,-1,2,7,-8,0,0,0,0,3,2,4,-8,0,0,0,4,-1,2,3,-1,0,0,0,0,3,2
15,3,0,0,2,0,3,8,1,6,3,0,1,0,4,-3,2,6,-10,0,0,0,2,1,2,0,0,0,0,0,2,2,2,6,-8,0,0,0,4,-1,2,0,0,0,0,0,0,3,2,6,-8,0,0,0,4,2,2,3,-8,0,0,0,0,0,2
16,2,7,0,2,0,7,14,3,-5,5,0,0,0,12,1,3,1,4,0,0,0,9,-9,3,0,-4,0,0,0,7,6,4,-6,7,0,0,0,9,5,2,0,-3,0,0,0,2,20,3,-6,6,0,0,0,9,15,2,0,-2,0,0,0,5,-15,3
17,11,0,0,7,0,4,17,0,7,-9,0,6,0,6,2,1,5,-3,0,5,0,4,-2,1,9,-12,0,5,0,6,0,1,3,-3,0,5,0,2,3,1,9,-10,0,5,0,6,-1,1,2,-3,0,5,0,2,3,1,9,-10,0,5,0,6,1,1
18,2,8,0,2,0,1,9,1,-5,7,0,0,0,0,-1,2,1,6,0,0,0,2,0,2,-6,8,0,0,0,-2,4,2,0,0,0,0,0,2,0,2,0,-2,0,0,0,-2,4,2,-6,9,0,0,0,2,3,2,0,-1,0,0,0,-2,1,2
19,-3,11,0,2,0,4,9,1,-5,11,0,1,0,-2,3,2,0,-1,0,0,0,2,1,2,-7,7,0,0,0,1,1,2,0,0,0,0,0,0,2,2,-6,7,0,0,0,2,0,2,0,0,0,0,0,-2,3,2,0,-2,0,0,0,2,-1,2
20,6,3,0,2,0,5,10,1,7,-8,0,0,0,5,2,2,0,-1,0,0,0,7,0,2,7,-8,0,0,0,2,3,2,4,-8,0,0,0,6,2,2,3,-1,0,0,0,3,1,2,7,-10,0,0,0,6,1,2,1,0,0,0,0,4,0,2
21,6,10,0,2,0,3,8,1,8,5,0,0,0,6,-1,2,2,6,0,0,0,0,1,2,7,-1,0,0,0,2,-2,2,4,-1,0,0,0,4,-1,2,4,7,0,0,0,0,3,2,7,-3,0,0,0,4,-1,2,1,7,0,0,0,0,3,2
22,-3,11,1,1,0,4,7,1,-6,9,0,0,0,-1,0,2,0,-1,0,0,0,-1,2,2,-6,7,0,0,0,2,0,2,0,0,0,0,0,-3,3,2,-6,7,0,0,0,1,2,2,0,0,0,0,0,-3,0,2,0,-2,0,0,0,1,1,2
23,6,6,0,2,0,3,9,1,-3,5,0,0,0,4,2,2,4,-2,0,0,0,3,2,2,1,-2,0,0,0,2,3,2,0,5,0,0,0,4,1,2,4,-4,0,0,0,0,4,2,-2,7,0,0,0,4,1,2,4,-3,0,0,0,0,4,2
24,0,10,0,2,0,3,10,1,-5,13,0,1,0,-3,0,2,0,-1,0,0,0,1,2,2,-7,7,0,0,0,-1,1,2,0,0,0,0,0,-1,3,2,-3,0,0,0,0,1,0,2,-3,8,0,0,0,-3,4,2,0,-2,0,0,0,1,0,2
25,4,11,0,2,0,0,4,0,10,10,0,1,0,0,-1,0,1,8,0,0,0,0,0,2,7,0,0,0,0,-4,3,2,4,0,0,0,0,0,-1,2,4,8,0,0,0,-4,3,2,7,-2,0,0,0,0,1,2,1,8,0,0,0,-2,0,2
26,8,8,0,2,0,5,16,1,6,-4,0,1,0,4,0,2,0,6,0,0,0,8,-1,2,6,-3,0,0,0,2,0,2,-1,5,0,0,0,6,1,2,6,-2,0,0,0,6,-1,2,3,-2,0,0,0,2,3,2,2,5,0,0,0,6,-1,2
27,5,-3,0,2,0,2,5,0,10,2,0,1,0,-2,2,0,8,-4,0,0,0,2,0,0,1,1,0,0,0,-4,3,2,7,-9,0,0,0,0,3,2,1,0,0,0,0,0,1,2,7,-8,0,0,0,-4,5,2,1,0,0,0,0,0,1,2
28,2,6,1,1,0,3,3,0,-3,9,1,0,0,7,2,0,0,-2,0,0,0,0,4,0,-3,-2,0,0,0,4,2,2,-3,6,0,0,0,3,2,2,0,-4,0,0,0,2,3,2,-6,7,0,0,0,4,0,2,0,-3,0,0,0,0,4,2
29,7,-2,0,2,0,4,10,0,2,0,0,0,0,-2,2,1,7,-9,0,0,0,2,2,1,0,-1,0,0,0,0,2,1,7,-8,0,0,0,0,3,1,4,-8,0,0,0,3,1,1,3,-1,0,0,0,-2,4,1,7,-10,0,0,0,2,3,1
30,7,5,0,3,0,1,11,0,4,7,0,3,0,2,-2,0,8,2,0,2,0,4,-2,0,1,4,0,0,0,0,3,2,7,-4,0,0,0,5,0,2,7,-6,0,0,0,0,3,2,1,5,0,0,0,4,1,2,7,-5,0,0,0,2,0,2
31,6,7,0,3,0,-2,16,0,1,5,0,2,0,4,-1,1,7,-3,0,0,0,5,3,1,4,-3,0,0,0,-1,4,1,4,5,0,0,0,3,1,1,7,-5,0,0,0,-2,4,1,1,5,0,0,0,2,3,1,7,-3,0,0,0,-2,1,1
32,6,8,0,3,0,3,12,1,-2,6,0,2,0,-1,4,2,4,-2,0,0,0,-1,1,2,1,-3,0,0,0,1,3,2,0,5,0,0,0,-3,6,2,4,-4,0,0,0,1,2,2,-2,6,0,0,0,-3,6,2,4,-2,0,0,0,1,4,2
33,4,11,0,2,0,2,4,0,7,-1,0,0,0,-4,0,0,1,6,0,0,0,0,0,2,7,-1,0,0,0,-4,4,2,7,-3,0,0,0,0,3,2,0,7,0,0,0,-4,1,2,7,-2,0,0,0,0,2,2,1,6,0,0,0,0,0,2
34,2,7,0,2,0,2,10,0,-5,6,0,0,0,-2,-1,1,1,5,0,0,0,2,-1,1,-6,7,0,0,0,-2,3,1,0,-1,0,0,0,2,1,1,0,-3,0,0,0,0,0,1,-6,8,0,0,0,0,2,1,0,-2,0,0,0,2,-1,1
35,4,11,0,2,0,1,4,0,8,5,0,0,0,0,-2,0,5,5,0,0,0,2,0,2,5,6,0,0,0,-2,3,2,8,3,0,0,0,2,-1,2,1,8,0,0,0,-2,3,2,7,-2,0,0,0,2,2,2,1,7,0,0,0,-2,0,2
36,5,2,0,2,0,4,8,1,6,-10,0,0,0,0,1,2,0,0,0,0,0,0,3,2,6,-8,0,0,0,2,0,2,0,0,0,0,0,-2,4,2,6,-8,0,0,0,2,3,2,3,-8,0,0,0,-2,1,2,3,0,0,0,0,2,2,2
37,2,7,0,2,0,4,9,1,-6,6,0,0,0,0,1,2,0,-1,0,0,0,0,-2,2,-6,6,0,0,0,2,0,2,0,-1,0,0,0,-2,3,2,0,-3,0,0,0,2,-1,2,-7,7,0,0,0,-2,3,2,0,-2,0,0,0,2,1,2
38,4,4,0,2,0,7,6,1,10,2,0,1,0,4,0,2,1,0,0,0,0,0,-1,2,7,-8,0,0,0,4,-1,2,7,-10,0,0,0,0,3,2,1,1,0,0,0,4,1,2,7,-9,0,0,0,2,0,2,1,0,0,0,0,2,2,2
39,0,8,0,2,0,5,8,1,-3,10,0,1,0,5,2,2,0,-1,0,0,0,0,4,2,-6,7,0,0,0,4,2,2,0,-1,0,0,0,3,2,2,-3,-1,0,0,0,2,3,2,-3,7,0,0,0,4,0,2,0,-3,0,0,0,0,4,2
40,6,10,0,2,0,2,10,1,7,-2,0,0,0,0,0,2,1,6,0,0,0,3,3,2,7,-1,0,0,0,-1,1,2,4,-1,0,0,0,2,1,2,3,6,0,0,0,0,1,2,7,-3,0,0,0,0,2,2,1,7,0,0,0,2,-1,2
