,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1,3,1,1,0,-1,13,0,3,-1,0,-1,0,4,0,3,2,4,0,-2,0,3,1,3,0,0,0,-3,0,3,2,3,2,-2,0,-2,0,-2,-3,3,2,-2,0,-2,0,-1,-3,3,2,-2,0,-2,0,2,-2,3,2,-2,0,-2,0,2,-1,3
1,2,-1,1,0,0,5,14,0,1,2,1,0,0,4,10,3,2,-1,1,-3,0,3,-3,3,2,-1,0,-3,0,0,-4,3,1,-2,0,-3,0,0,-4,3,-1,3,0,-3,0,4,-3,3,-1,2,0,-3,0,3,-2,3,-1,3,0,-3,0,0,-4,3
2,4,-2,0,2,0,3,18,0,2,4,0,1,0,1,2,3,3,-1,0,-1,0,3,-1,3,2,5,0,-2,0,4,-2,3,1,2,0,-3,0,0,-1,3,2,3,0,-3,0,-1,-1,3,2,4,0,-3,0,7,1,3,4,-1,0,-2,0,-1,-1,3
3,2,5,1,0,0,3,8,0,3,2,0,-1,0,6,3,0,1,3,0,-3,0,3,-3,3,1,4,0,-3,0,3,-3,3,0,2,0,-3,0,-3,-2,3,0,3,0,-3,0,0,-3,3,1,3,0,-3,0,-2,-1,3,1,4,0,-3,0,3,-3,3
4,4,7,0,3,0,-3,13,0,4,14,0,2,0,1,2,0,4,5,0,0,0,-1,1,3,5,4,0,0,0,0,-1,3,1,7,0,-2,0,0,-2,3,2,7,0,-2,0,-2,-2,3,5,4,0,-1,0,-1,-1,3,4,3,0,-1,0,1,-2,3
5,1,4,1,0,0,-2,13,0,3,6,0,-3,0,0,8,3,1,2,0,-3,0,-2,0,3,1,2,0,-3,0,2,2,3,3,-1,0,-2,0,-3,-3,3,2,-2,0,-3,0,-2,-3,3,-1,1,0,-4,0,1,-2,3,-1,1,0,-4,0,1,-1,3
6,10,4,1,1,0,5,5,0,8,4,0,0,0,6,4,0,9,5,0,-2,0,2,2,3,9,7,0,-3,0,0,-2,3,8,4,0,-3,0,3,-2,3,11,1,0,-2,0,-1,-2,3,8,4,0,-3,0,0,-2,3,11,1,0,-2,0,-3,-1,3
7,7,-2,1,3,0,2,3,0,8,7,0,2,0,2,3,0,9,1,0,0,0,3,2,3,7,4,0,-1,0,-3,-2,3,6,3,0,-1,0,-1,-3,3,6,7,0,-1,0,-2,-1,3,9,1,0,0,0,-3,-1,3,7,4,0,-1,0,0,0,3
8,3,2,0,2,0,3,2,0,3,6,0,2,0,3,-2,0,1,7,0,-2,0,2,-4,3,1,6,0,-2,0,0,0,3,1,8,0,-2,0,-2,-4,3,2,1,0,-2,0,-3,-5,3,1,8,0,-2,0,-2,-4,3,2,-2,0,-2,0,-3,-5,3
9,14,4,0,2,0,11,6,0,15,10,0,1,0,10,6,0,14,6,0,-1,0,9,2,3,14,3,0,-2,0,7,1,3,12,7,0,-3,0,7,0,3,14,3,0,-2,0,4,-1,3,14,3,0,-2,0,4,-1,3,14,3,0,-2,0,4,-1,3
10,4,-1,0,2,0,7,5,0,4,-1,0,2,0,5,2,0,4,1,0,-2,0,2,1,3,3,-1,0,-1,0,5,1,3,2,3,0,-3,0,0,-2,3,2,4,0,-3,0,3,-1,3,2,5,0,-3,0,3,0,3,1,2,0,-3,0,1,0,3
11,4,0,0,2,0,14,16,0,5,-1,0,3,0,9,12,0,2,6,0,-1,0,11,10,3,2,3,0,-2,0,6,9,3,5,-1,0,-1,0,11,11,3,5,-1,0,-1,0,7,9,3,2,5,0,-2,0,7,6,3,2,4,0,-2,0,7,6,3
12,0,9,0,0,0,1,1,0,1,4,0,0,0,0,7,0,0,4,0,-3,0,-2,0,3,0,4,0,-3,0,1,-3,3,-1,4,0,-4,0,-5,-4,3,1,5,0,-4,0,-2,-3,3,3,0,0,-3,0,0,-3,3,0,3,0,-4,0,-2,-3,3
13,3,-2,0,1,0,3,3,0,2,9,0,1,0,5,4,0,1,2,0,-1,0,3,0,3,-1,2,0,-3,0,-3,0,3,2,-2,0,-2,0,1,-2,3,0,2,0,-3,0,2,-2,3,2,0,0,-2,0,1,-2,3,2,0,0,-2,0,1,-1,3
14,1,9,0,1,0,0,6,0,3,4,0,2,0,0,4,0,3,0,0,-1,0,-1,3,3,4,0,0,-1,0,0,-1,3,1,4,0,-3,0,-1,3,3,4,-1,0,-2,0,-1,-3,3,1,1,0,-3,0,-5,-1,3,4,-1,0,-2,0,1,0,3
15,9,7,0,2,0,6,5,0,9,4,0,4,0,2,4,0,9,0,0,0,0,-1,2,3,6,4,0,-1,0,-1,1,3,9,0,0,0,0,-1,2,3,6,4,0,-1,0,1,11,3,9,0,0,0,0,-3,-1,3,7,4,0,-1,0,2,-3,3
16,14,5,0,2,0,9,14,0,13,6,0,0,0,12,11,0,12,4,0,-1,0,13,20,3,13,2,0,-1,0,13,11,3,13,3,0,-1,0,11,12,3,13,2,0,-1,0,12,9,3,13,3,0,-1,0,8,9,3,13,2,0,-1,0,10,10,3
17,8,8,1,0,0,1,11,0,9,3,1,-3,0,1,12,3,7,6,0,-3,0,3,2,3,7,6,0,-3,0,2,1,3,10,2,0,-3,0,2,0,3,8,8,0,-3,0,1,0,3,8,8,0,-3,0,2,0,3,8,8,0,-3,0,1,0,3
18,9,6,0,1,0,1,12,0,8,5,0,-1,0,3,9,3,8,3,0,-1,0,1,-1,3,9,1,0,-1,0,1,-3,3,6,3,0,-3,0,0,-3,3,9,1,0,-2,0,2,-2,3,9,1,0,-2,0,0,-3,3,9,1,0,-2,0,2,-2,3
19,8,5,0,1,0,1,12,0,8,0,0,-1,0,3,11,3,7,0,0,-2,0,1,0,3,7,0,0,-2,0,-1,-1,3,7,1,0,-2,0,0,-1,3,7,0,0,-2,0,0,1,3,7,1,0,-2,0,0,-1,3,7,0,0,-2,0,0,1,3
20,9,7,0,1,0,0,9,0,8,4,0,-1,0,-2,-3,3,7,2,0,-2,0,1,0,3,8,8,0,-2,0,-1,0,3,5,3,0,-3,0,1,-2,3,8,2,0,-2,0,-2,-1,3,8,1,0,-2,0,1,-2,3,8,2,0,-2,0,-2,-1,3
21,6,2,0,1,0,-1,7,0,8,6,0,-2,0,1,6,3,7,-2,0,-2,0,-1,-5,3,7,-3,0,-2,0,-1,-3,3,7,-2,0,-2,0,-1,-3,3,7,-3,0,-2,0,-1,-3,3,7,-2,0,-2,0,-1,-3,3,7,-3,0,-2,0,-1,-3,3
22,8,1,1,1,0,0,11,0,9,-1,0,-1,0,2,-1,3,8,2,0,-1,0,-2,-4,3,7,3,0,-1,0,-1,-2,3,8,2,0,-1,0,-1,-4,3,7,2,0,-2,0,-1,-2,3,7,1,0,-2,0,-1,-2,3,7,2,0,-2,0,-1,-2,3
23,8,7,1,0,0,0,14,0,7,5,1,-3,0,0,-1,3,8,1,0,-3,0,0,12,3,5,5,0,-3,0,1,2,3,8,1,0,-3,0,0,0,3,5,5,0,-3,0,1,0,3,8,1,0,-3,0,0,0,3,5,5,0,-3,0,1,0,3
24,8,7,0,0,0,1,13,0,7,5,0,-3,0,3,10,3,5,5,-1,-3,0,-1,-1,3,8,2,-1,-3,0,0,-2,3,8,1,-1,-3,0,-1,0,3,8,2,-1,-3,0,0,0,3,8,1,-1,-3,0,-1,0,3,8,2,-1,-3,0,0,0,3
25,9,5,0,0,0,-1,9,0,9,1,0,-2,0,0,-6,3,7,3,0,-4,0,0,-2,3,9,1,0,-3,0,1,-5,3,9,1,0,-3,0,0,-5,3,9,1,0,-3,0,1,-5,3,6,3,0,-4,0,0,-5,3,9,1,0,-3,0,1,-5,3
26,10,4,0,1,0,2,11,0,8,1,0,-1,0,2,2,3,9,-2,0,-2,0,2,3,3,9,-1,0,-2,0,1,0,3,9,-2,0,-2,0,2,0,3,9,-1,0,-2,0,1,0,3,9,-2,0,-2,0,2,0,3,9,-1,0,-2,0,1,0,3
27,10,7,0,0,0,1,7,0,11,3,0,-2,0,1,-2,3,10,9,0,-3,0,2,7,3,11,3,0,-3,0,-1,-5,3,10,3,0,-3,0,-1,-5,3,11,3,0,-3,0,-1,-3,3,10,3,0,-3,0,-1,-3,3,9,5,0,-3,0,-1,-3,3
28,7,2,0,1,0,2,9,0,7,-2,0,-1,0,3,9,3,7,-3,0,-2,0,-1,-1,3,7,-2,0,-2,0,2,-2,3,7,-3,0,-2,0,1,-2,3,5,0,0,-3,0,2,-2,3,7,-3,0,-2,0,1,-2,3,5,0,0,-3,0,2,-2,3
29,8,2,0,1,0,-1,9,0,9,-2,0,-1,0,1,8,3,9,-4,0,-2,0,-1,-1,3,7,0,0,-3,0,1,-2,3,9,-2,0,-2,0,-1,-3,3,9,-2,0,-2,0,1,-2,3,9,-2,0,-2,0,-1,-3,3,9,-2,0,-2,0,1,-2,3
30,9,7,0,0,0,1,10,0,9,3,0,-2,0,1,-3,3,8,5,0,-2,0,-1,-2,3,10,3,0,-3,0,-1,-2,3,9,3,0,-3,0,2,-2,3,8,5,0,-3,0,-3,-2,3,9,3,0,-3,0,2,-2,3,10,3,0,-3,0,-3,-2,3
31,8,5,0,1,0,0,7,0,7,2,0,-2,0,0,-5,3,8,4,0,-1,0,2,6,3,5,3,0,-3,0,-1,-5,3,8,2,0,-2,0,-1,-3,3,8,1,0,-2,0,-1,-3,3,8,2,0,-2,0,-1,-3,3,8,1,0,-2,0,-1,-3,3
