,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,7,0,0,0,0,1,10,0,9,3,0,-3,0,-1,-2,3,9,-2,-1,-3,0,2,-1,3,9,-5,-1,-3,0,-1,0,3,7,0,-1,-3,0,0,0,3,9,-5,-1,-3,0,-1,0,3,7,0,-1,-3,0,0,0,3,9,-5,-1,-3,0,-1,0,3
1,1,5,1,1,0,3,18,0,4,0,0,-1,0,2,2,3,1,4,0,-2,0,2,3,3,1,3,0,-3,0,-1,-1,3,0,3,0,-3,0,-2,-1,3,1,3,0,-3,0,0,0,3,0,3,0,-3,0,-1,0,3,1,3,0,-3,0,-1,-1,3
2,2,2,1,1,0,0,4,0,3,0,0,-1,0,6,3,0,4,-1,0,-1,0,4,2,3,4,-2,0,-1,0,2,-3,3,3,2,0,-2,0,2,-2,3,4,-2,0,-1,0,-2,-2,3,2,0,0,-2,0,4,-3,3,1,2,0,-2,0,-2,-2,3
3,2,0,0,0,0,0,3,0,1,5,0,0,0,2,3,0,3,1,0,-2,0,-1,1,3,1,1,0,-3,0,3,-3,3,2,4,0,-3,0,5,2,3,4,-3,0,-2,0,3,-3,3,2,4,0,-3,0,5,-1,3,1,1,0,-3,0,-3,-3,3
4,2,-6,1,2,0,4,4,0,2,2,0,2,0,8,6,0,-1,2,0,-3,0,3,-1,3,0,2,0,-3,0,5,3,3,0,3,0,-3,0,-1,-1,3,-1,1,0,-3,0,3,0,3,-1,2,0,-3,0,-1,0,3,0,2,0,-3,0,-2,-1,3
5,11,0,0,2,0,0,16,0,10,3,0,2,0,-1,0,3,11,6,0,-2,0,3,-2,3,7,3,0,-3,0,2,-2,3,7,2,0,-3,0,3,-2,3,7,3,0,-3,0,2,-2,3,8,3,0,-3,0,2,-1,3,8,4,0,-3,0,2,-2,3
6,6,2,1,1,0,12,9,0,6,0,0,-2,0,12,9,0,7,-2,0,-1,0,11,5,3,8,-3,0,-1,0,11,6,3,6,1,0,-3,0,8,5,3,5,0,0,-3,0,10,5,3,4,1,0,-3,0,11,6,3,5,0,0,-3,0,9,5,3
7,11,-2,0,1,0,7,6,2,10,3,0,1,0,11,2,2,9,3,0,-2,0,10,13,5,9,3,0,-2,0,9,-1,5,8,3,0,-3,0,6,-2,5,9,2,0,-3,0,6,-2,5,12,-1,0,-2,0,6,-2,5,12,-2,0,-2,0,6,-2,5
8,6,-1,1,0,0,5,2,0,6,2,0,1,0,0,3,0,6,4,0,-3,0,1,1,3,5,1,0,-3,0,3,-2,3,4,2,0,-3,0,-1,-2,3,5,1,0,-3,0,-2,-2,3,6,4,0,-3,0,-3,-3,3,8,-3,0,-2,0,-2,-2,3
9,1,-1,1,1,0,3,4,0,4,-3,0,3,0,5,6,0,3,-1,0,-1,0,1,-1,3,1,1,0,-2,0,-1,3,3,0,3,0,-2,0,2,1,3,2,3,0,-2,0,-3,0,3,1,5,0,-2,0,-3,0,3,2,3,0,-2,0,-3,0,3
10,1,-1,1,2,0,-3,5,0,3,0,0,0,0,-3,5,0,2,3,0,-1,0,-6,-1,3,0,3,0,-2,0,-5,-1,3,0,4,0,-2,0,-6,-1,3,2,-1,0,-1,0,2,1,3,1,5,0,-2,0,-6,-1,3,0,3,0,-2,0,-6,0,3
11,1,2,0,1,0,6,4,0,2,9,0,1,0,1,3,0,2,1,0,-1,0,2,-2,3,0,3,0,-3,0,-1,-3,3,0,4,0,-3,0,0,-1,3,-1,2,0,-3,0,-1,-3,3,-1,3,0,-3,0,-2,-3,3,0,3,0,-3,0,-1,-3,3
12,1,8,1,0,0,6,2,0,3,5,0,1,0,1,1,0,4,0,0,-2,0,-3,-2,3,1,6,0,-3,0,-1,-5,3,1,5,0,-3,0,2,-4,3,2,3,0,-3,0,-2,-5,3,1,5,0,-3,0,-1,-5,3,1,6,0,-3,0,-2,-5,3
13,16,-2,0,3,0,0,7,0,14,3,0,1,0,0,-2,3,14,4,0,-2,0,0,-1,3,13,2,0,-2,0,-3,-5,3,14,4,0,-2,0,1,6,3,14,4,0,-2,0,-3,-4,3,13,2,0,-2,0,-2,-5,3,14,4,0,-2,0,-3,-4,3
14,8,5,1,0,0,2,11,0,9,9,1,-3,0,1,2,3,7,2,1,-3,0,3,2,3,8,0,0,-3,0,-2,0,3,8,-1,0,-3,0,2,0,3,8,0,0,-3,0,-2,0,3,8,-1,0,-3,0,2,0,3,8,0,0,-3,0,-2,0,3
15,10,6,1,0,0,2,11,0,9,1,1,-3,0,2,2,3,9,2,0,-3,0,0,1,3,9,-1,0,-3,0,-1,1,3,7,4,0,-3,0,0,1,3,9,-1,0,-3,0,-1,1,3,7,4,0,-3,0,0,1,3,9,-1,0,-3,0,-2,0,3
16,10,4,0,1,0,1,7,0,8,1,0,-1,0,-1,8,3,9,1,0,-2,0,-1,-3,3,9,-1,0,-2,0,0,-4,3,7,2,0,-3,0,-1,-3,3,9,-1,0,-2,0,0,-4,3,7,2,0,-3,0,-1,-3,3,9,-1,0,-2,0,0,-4,3
17,9,5,0,0,0,-1,10,0,9,1,0,-2,0,1,1,3,8,3,0,-2,0,1,10,3,9,2,0,-3,0,-4,-1,3,9,1,0,-3,0,-2,0,3,9,0,0,-3,0,-3,0,3,9,1,0,-3,0,-2,0,3,9,0,0,-3,0,-4,-1,3
18,9,3,0,0,0,2,11,0,11,0,0,-3,0,2,11,3,11,-1,-1,-3,0,0,-2,3,11,-2,-1,-3,0,-2,-2,3,11,-1,-1,-3,0,0,-2,3,11,-2,-1,-3,0,-3,-1,3,11,-1,-1,-3,0,1,-2,3,11,-2,-1,-3,0,-3,-1,3
19,10,3,0,2,0,2,7,0,9,-2,0,0,0,3,9,3,6,-1,0,-2,0,-2,-2,3,9,-2,0,-1,0,0,-1,3,9,-3,0,-1,0,-2,-2,3,9,-2,0,-1,0,0,-1,3,9,-3,0,-1,0,-2,-2,3,7,0,0,-2,0,0,-1,3
20,6,5,0,0,0,2,9,0,7,8,0,-3,0,1,-3,3,7,1,0,-2,0,0,-3,3,9,1,0,-2,0,2,-2,3,4,3,0,-4,0,2,-2,3,7,0,0,-3,0,2,-2,3,7,1,0,-3,0,2,-2,3,7,0,0,-3,0,2,-2,3
21,8,1,0,2,0,1,9,0,8,-3,0,0,0,2,0,3,8,-2,0,-1,0,1,9,3,8,-3,0,-1,0,2,0,3,6,0,0,-2,0,-3,-2,3,8,-3,0,-1,0,-1,-1,3,6,0,0,-2,0,-3,-2,3,8,-3,0,-1,0,-1,-1,3
22,8,7,1,0,0,1,7,0,9,11,1,-3,0,0,7,3,5,5,0,-3,0,0,-3,3,6,6,0,-3,0,0,-3,3,8,1,0,-3,0,0,-3,3,8,2,0,-3,0,0,-3,3,8,1,0,-3,0,0,-3,3,8,2,0,-3,0,0,-3,3
23,10,9,0,0,0,0,8,0,8,6,0,-3,0,2,8,3,9,5,-1,-3,0,0,-1,3,9,2,-1,-3,0,1,-3,3,7,7,-1,-3,0,-3,-4,3,9,2,-1,-3,0,1,-3,3,7,7,-1,-3,0,-3,-4,3,9,2,-1,-3,0,1,-3,3
24,7,5,0,2,0,-1,10,0,8,9,0,-1,0,0,9,3,7,1,0,0,0,-4,-1,3,7,2,0,-1,0,-2,0,3,7,1,0,-1,0,-3,0,3,7,2,0,-1,0,-2,0,3,7,1,0,-1,0,-3,0,3,7,2,0,-1,0,-2,0,3
25,8,7,0,0,0,0,7,0,7,4,0,-3,0,0,-5,3,9,0,0,-3,0,1,-1,3,8,2,0,-3,0,-3,-4,3,7,-1,-1,-3,0,-1,-3,3,7,0,-1,-3,0,-3,-4,3,7,-1,-1,-3,0,-1,-3,3,7,0,-1,-3,0,-3,-4,3
