,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,8,4,0,0,0,0,14,0,9,2,0,-3,0,3,-2,3,8,4,-1,-3,0,3,-2,3,10,-1,-1,-3,0,4,1,3,10,0,-1,-3,0,3,-2,3,10,-1,-1,-3,0,0,-1,3,10,0,-1,-3,0,2,0,3,10,-1,-1,-3,0,1,0,3
1,1,4,0,0,0,-1,15,0,2,1,0,-2,0,3,4,0,3,2,0,-2,0,-1,-1,3,1,1,0,-3,0,-1,-2,3,2,3,0,-3,0,-3,0,3,2,3,0,-3,0,2,-2,3,1,1,0,-3,0,-4,-1,3,2,3,0,-3,0,-1,-2,3
2,3,6,1,1,0,-1,2,0,4,1,0,-1,0,1,14,0,2,1,0,-2,0,-1,-1,3,2,7,0,-2,0,-7,-2,3,4,0,0,-2,0,-4,-3,3,2,4,0,-3,0,-2,-2,3,4,0,0,-2,0,-1,-1,3,5,-1,0,-2,0,-7,-2,3
3,2,3,0,1,0,8,3,0,3,-2,0,1,0,2,2,0,2,4,0,-3,0,5,-3,3,1,2,0,-3,0,0,-1,3,4,-1,0,-2,0,5,0,3,1,2,0,-3,0,4,-2,3,2,3,0,-3,0,0,-4,3,1,2,0,-3,0,4,-2,3
4,7,8,1,2,0,5,4,0,7,2,0,2,0,6,4,0,6,2,0,-1,0,5,1,3,9,0,0,-1,0,-2,1,3,8,1,0,-1,0,0,-2,3,6,5,0,-2,0,1,0,3,8,1,0,-1,0,3,-1,3,9,0,0,-1,0,-3,-1,3
5,10,2,1,2,0,9,5,0,10,3,0,2,0,10,5,0,10,-1,0,-1,0,14,3,3,11,-1,0,-1,0,13,1,3,10,-1,0,-2,0,6,-1,3,8,3,0,-3,0,6,-1,3,10,-1,0,-2,0,6,-1,3,11,-2,0,-2,0,6,-1,3
6,1,5,0,1,0,6,12,0,3,7,0,1,0,2,-3,3,4,0,0,-2,0,3,-1,3,1,2,0,-3,0,2,-3,3,4,-3,0,-2,0,0,-2,3,0,1,0,-3,0,3,0,3,0,0,0,-3,0,-1,-2,3,1,2,0,-3,0,3,-2,3
7,2,4,1,2,0,7,17,0,3,-3,0,-1,0,8,6,3,4,1,0,-1,0,9,2,3,1,6,0,-2,0,9,7,3,2,-4,0,-2,0,7,6,3,1,1,0,-2,0,6,3,3,2,-4,0,-2,0,10,4,3,1,1,0,-2,0,4,2,3
8,3,4,-1,0,0,2,3,0,1,8,0,0,0,5,4,0,2,8,-1,-3,0,0,0,3,1,3,0,-3,0,4,-1,3,2,4,0,-3,0,2,-1,3,1,3,0,-3,0,1,-3,3,2,0,-1,-3,0,4,-2,3,2,-1,-1,-3,0,4,-1,3
9,9,-3,1,2,0,13,10,0,9,5,0,1,0,11,8,0,9,3,0,-1,0,10,17,3,9,2,0,-1,0,7,4,3,9,3,0,-2,0,8,5,3,10,1,0,-2,0,10,4,3,8,8,0,-3,0,8,5,3,7,6,0,-3,0,10,4,3
